Period, CPUAvg, person,obs,encounter,concept,
From 200514 To 200544,57.27,314,8,7,18,
From 200584 To 200614,49.17,282,8,10,12,
From 200614 To 200644,53.1,273,8,9,11,
From 200684 To 200714,55.7,283,8,9,8,
From 200714 To 200744,59.9,293,8,6,11,
From 200784 To 200814,58.83,294,8,6,8,
From 200814 To 200844,60.67,330,7,12,10,
From 200885 To 200915,57.37,299,3,12,8,
From 200915 To 200945,48.7,274,10,5,9,
From 200985 To 201015,66.53,343,12,9,10,
From 201015 To 201045,53.37,272,6,11,6,
From 201085 To 201115,62.4,299,10,6,9,
From 201115 To 201145,57.83,297,8,9,7,
From 201185 To 201215,62.37,319,9,9,10,
From 201215 To 201245,56.5,283,7,9,8,
From 201285 To 201315,69.5,325,8,8,11,
From 201315 To 201345,63.2,321,7,8,10,
From 201386 To 201416,62.77,342,11,7,11,
From 201416 To 201446,52.57,276,8,8,8,
From 201486 To 201516,70.03,343,9,8,10,
From 201516 To 201546,56.3,315,8,11,11,
From 201586 To 201616,50.77,249,6,7,5,
From 201616 To 201646,69.43,339,5,10,9,
From 201686 To 201716,58.67,302,13,9,6,
From 201716 To 201746,55.67,296,9,8,6,
From 201786 To 201816,57.1,306,13,5,4,
From 201816 To 201846,56.23,274,6,7,11,
From 201887 To 201917,66.23,340,6,8,9,
From 201917 To 201947,60.53,309,12,5,8,
From 201987 To 202017,50.03,278,7,9,11,
From 202017 To 202047,66.53,366,8,11,10,
From 202087 To 202117,53.77,268,6,12,9,
From 202117 To 202147,64.43,322,8,13,7,
From 202187 To 202217,63.0,335,9,5,16,
From 202217 To 202247,48.93,283,11,7,9,
From 202287 To 202317,53.4,303,10,9,12,
From 202317 To 202347,49.87,309,4,15,13,
From 202388 To 202418,54.47,291,10,6,12,
From 202418 To 202448,52.9,295,5,10,14,
From 202488 To 202518,61.3,329,6,11,10,
From 202518 To 202548,59.9,276,13,4,8,
From 202588 To 202618,55.7,304,11,7,10,
From 202618 To 202648,66.3,331,10,9,11,
From 202688 To 202718,57.23,296,8,12,10,
From 202718 To 202748,53.83,282,11,8,7,
From 202788 To 202818,64.53,335,11,10,7,
From 202818 To 202848,60.0,308,5,10,13,
From 202889 To 202919,47.33,284,9,9,10,
From 202919 To 202949,58.1,310,9,11,8,
From 202989 To 203019,58.83,317,9,8,14,
From 203019 To 203049,56.9,287,11,4,8,
From 203089 To 203119,52.93,291,6,12,9,
From 203119 To 203149,62.37,333,13,11,8,
From 203189 To 203219,53.4,282,9,10,7,
From 203219 To 203249,51.73,297,9,9,9,
From 203289 To 203319,66.87,344,8,13,7,
From 203319 To 203349,49.4,305,9,14,13,
