Period, CPUAvg, person,concept,obs,encounter,
From 170494 To 170524,127.43,2422,66,78,77,
From 170524 To 170554,133.6,2393,55,80,79,
From 170594 To 170624,127.87,2347,60,61,74,
From 170624 To 170654,128.4,2387,57,57,65,
From 170695 To 170725,136.0,2492,77,70,60,
From 170725 To 170755,127.93,2345,55,55,72,
From 170795 To 170825,128.93,2384,66,71,62,
From 170825 To 170855,138.13,2383,58,48,89,
From 170895 To 170925,127.47,2410,64,83,76,
From 170925 To 170955,132.97,2336,74,65,67,
From 170995 To 171025,126.3,2410,62,77,72,
From 171025 To 171055,126.9,2385,67,67,67,
From 171095 To 171125,133.13,2391,73,67,70,
From 171125 To 171155,127.2,2363,67,54,73,
From 171196 To 171226,133.6,2442,79,63,57,
From 171226 To 171256,126.47,2372,71,67,62,
From 171296 To 171326,127.07,2325,66,73,48,
From 171326 To 171356,133.8,2355,68,79,64,
From 171396 To 171426,128.1,2360,67,70,60,
From 171426 To 171456,126.27,2325,66,75,53,
From 171496 To 171526,132.23,2330,59,74,66,
From 171526 To 171556,125.37,2401,69,79,81,
From 171596 To 171626,132.77,2392,71,79,70,
From 171626 To 171656,127.5,2364,59,78,65,
From 171696 To 171726,126.33,2338,74,65,58,
From 171727 To 171757,129.47,2397,53,81,65,
From 171797 To 171827,126.53,2361,67,73,61,
From 171827 To 171857,128.0,2315,76,54,62,
From 171897 To 171927,130.1,2342,71,71,69,
From 171927 To 171957,128.37,2399,78,71,67,
From 171997 To 172027,132.73,2377,77,74,73,
From 172027 To 172057,124.27,2282,59,69,67,
From 172097 To 172127,127.57,2357,71,73,66,
From 172127 To 172157,133.9,2334,71,59,52,
From 172197 To 172227,125.37,2323,64,64,60,
From 172227 To 172257,133.8,2309,71,64,57,
From 172298 To 172328,127.27,2420,66,67,74,
From 172328 To 172358,126.03,2383,64,68,84,
From 172398 To 172428,132.4,2309,66,61,69,
From 172428 To 172458,126.17,2319,70,65,67,
From 172498 To 172528,125.17,2349,62,71,71,
From 172528 To 172558,134.47,2368,80,61,68,
From 172598 To 172628,128.13,2325,67,71,59,
From 172628 To 172658,133.3,2289,60,87,53,
From 172698 To 172728,128.3,2326,66,56,78,
From 172728 To 172758,128.37,2330,46,80,56,
From 172799 To 172829,135.43,2338,70,51,60,
From 172829 To 172859,127.97,2310,67,75,61,
From 172899 To 172929,134.97,2327,67,77,50,
From 172929 To 172959,129.87,2373,65,66,76,
From 172999 To 173029,128.87,2284,65,52,66,
From 173029 To 173059,133.67,2306,57,72,62,
From 173099 To 173129,128.4,2383,76,68,72,
From 173129 To 173159,127.53,2298,72,65,62,
From 173199 To 173229,134.2,2286,61,77,67,
From 173229 To 173259,128.5,2274,55,58,61,
From 173299 To 173329,128.23,2352,68,83,54,
From 173329 To 173359,133.83,2286,63,62,71,
From 173400 To 173430,127.47,2352,69,64,62,
From 173470 To 173500,135.5,2308,73,63,56,
From 173500 To 173530,128.4,2355,68,68,68,
From 173570 To 173600,127.67,2289,63,68,67,
From 173600 To 173630,133.6,2298,63,66,68,
From 173670 To 173700,128.07,2348,64,60,73,
From 173700 To 173730,126.87,2284,63,60,63,
From 173770 To 173800,133.53,2253,58,71,67,
From 173800 To 173830,128.53,2287,73,66,63,
From 173870 To 173900,128.43,2340,61,69,74,
From 173900 To 173930,134.0,2324,62,58,71,
From 173971 To 174001,127.67,2314,68,61,68,
From 174001 To 174031,133.73,2290,74,66,54,
From 174071 To 174101,124.5,2311,57,67,75,
From 174101 To 174131,128.5,2306,68,65,58,
From 174171 To 174201,131.13,2215,45,65,70,
From 174201 To 174231,129.4,2321,67,71,65,
From 174271 To 174301,128.27,2288,58,65,61,
