Period, CPUAvg, person,concept,obs,encounter,
From 14782 To 14812,92.03,641,18,21,19,
From 14812 To 14842,70.6,347,10,13,9,
From 14882 To 14912,103.3,692,19,19,21,
From 14912 To 14942,101.77,695,26,27,24,
From 14982 To 15012,71.43,419,10,10,13,
From 15012 To 15042,109.47,658,15,21,25,
From 15082 To 15112,71.67,366,12,8,15,
From 15113 To 15143,70.73,345,8,5,7,
From 15183 To 15213,107.83,654,15,20,19,
From 15213 To 15243,80.83,510,14,14,18,
From 15283 To 15313,84.57,469,18,10,12,
From 15313 To 15343,97.33,607,16,13,23,
From 15383 To 15413,79.8,463,10,16,13,
From 15413 To 15443,74.0,449,13,6,14,
From 15484 To 15514,95.03,613,24,14,7,
From 15514 To 15544,78.97,428,9,7,13,
From 15584 To 15614,96.93,586,18,12,20,
From 15614 To 15644,95.83,617,16,21,22,
From 15684 To 15714,84.67,486,16,12,9,
From 15714 To 15744,85.13,568,19,8,13,
From 15784 To 15814,97.97,654,18,18,21,
From 15815 To 15845,83.97,499,16,19,11,
From 15885 To 15915,78.83,503,10,11,16,
From 15915 To 15945,99.23,590,22,18,13,
From 19985 To 20015,72.73,343,8,3,14,
From 20015 To 20045,76.93,458,16,17,10,
From 20085 To 20115,99.67,608,17,11,23,
From 20115 To 20145,75.67,470,15,13,21,
From 20186 To 20216,102.73,653,17,16,23,
From 20216 To 20246,97.43,648,19,19,21,
From 20286 To 20316,79.57,425,14,12,7,
From 20316 To 20346,101.3,673,12,22,27,
From 20386 To 20416,94.33,572,20,12,11,
From 20416 To 20446,71.47,383,9,10,15,
From 20486 To 20516,102.27,681,22,15,23,
From 20517 To 20547,87.47,531,16,16,17,
From 20587 To 20617,48.7,221,4,6,9,
From 20617 To 20647,48.27,194,11,6,5,
From 20687 To 20717,63.9,313,5,12,8,
From 20717 To 20747,65.23,308,8,8,4,
From 20788 To 20818,94.27,533,18,18,12,
From 20818 To 20848,77.03,406,10,13,15,
From 20888 To 20918,119.17,729,20,23,13,
From 20918 To 20948,91.9,530,21,15,18,
From 20988 To 21018,89.67,545,14,12,24,
From 21018 To 21048,102.63,680,13,16,21,
From 21088 To 21118,81.3,423,15,6,13,
From 21119 To 21149,91.6,634,15,20,20,
From 21189 To 21219,106.6,667,15,20,23,
From 21219 To 21249,57.3,284,12,5,11,
From 21289 To 21319,95.67,634,28,16,11,
From 21319 To 21349,99.6,662,26,24,15,
From 21389 To 21419,84.43,410,10,8,9,
From 21420 To 21450,93.1,650,19,16,22,
From 21490 To 21520,77.27,459,16,8,9,
From 21520 To 21550,65.73,324,12,6,8,
From 21590 To 21620,88.57,530,9,17,12,
From 21620 To 21650,90.93,563,13,23,17,
From 21690 To 21720,70.8,328,14,9,9,
From 21721 To 21751,99.53,587,9,21,14,
From 21791 To 21821,78.87,500,8,14,16,
From 21821 To 21851,60.97,276,4,11,10,
From 21891 To 21921,96.23,593,18,11,16,
From 21921 To 21951,76.23,520,13,13,10,
From 21991 To 22021,82.07,412,15,9,10,
From 22021 To 22051,90.5,566,13,17,14,
From 22092 To 22122,86.67,600,19,17,15,
From 22122 To 22152,60.07,261,7,8,7,
From 22192 To 22222,78.97,500,15,13,11,
From 22222 To 22252,88.03,555,21,13,16,
From 22292 To 22322,82.33,448,11,9,14,
From 22322 To 22352,77.2,484,10,19,5,
From 22393 To 22423,89.37,641,21,19,24,
From 22423 To 22453,81.13,497,18,18,14,
From 22493 To 22523,74.97,437,17,13,8,
From 22523 To 22553,90.13,556,16,13,14,
From 22593 To 22623,87.73,468,11,14,13,
From 22623 To 22653,62.87,310,5,12,5,
From 22693 To 22723,100.43,684,18,21,22,
From 22724 To 22754,82.3,499,7,10,14,
From 22794 To 22824,55.13,280,8,7,11,
From 22824 To 22854,100.27,659,17,20,17,
From 22894 To 22924,85.47,541,18,18,11,
From 22924 To 22954,72.8,442,13,16,10,
From 22995 To 23025,103.4,686,21,10,23,
From 23025 To 23055,90.17,461,15,10,11,
From 23095 To 23125,54.83,287,9,6,12,
From 23125 To 23155,100.2,610,17,22,16,
From 23196 To 23226,94.03,643,14,19,21,
From 23226 To 23256,72.8,359,8,11,8,
From 23296 To 23326,95.87,634,14,19,16,
From 23326 To 23356,76.53,482,8,9,17,
From 23396 To 23426,73.8,326,10,9,10,
From 23426 To 23456,80.03,518,17,11,26,
From 23497 To 23527,90.27,567,22,16,14,
From 23527 To 23557,79.17,448,10,12,17,
From 23597 To 23627,88.97,548,14,14,21,
From 23627 To 23657,80.1,519,12,18,13,
From 23697 To 23727,66.17,347,8,10,10,
From 23727 To 23757,91.23,573,6,14,20,
From 23798 To 23828,86.67,581,20,21,13,
From 23828 To 23858,65.3,336,11,6,8,
From 23898 To 23928,64.77,333,8,9,11,
From 23928 To 23958,99.47,650,15,20,16,
From 23998 To 24028,88.63,560,17,21,15,
From 24028 To 24058,56.43,278,11,8,5,
From 24099 To 24129,90.03,573,21,13,16,
From 24129 To 24159,81.23,560,15,12,22,
From 24199 To 24229,66.2,337,9,10,11,
From 24229 To 24259,98.9,643,22,16,20,
From 24299 To 24329,93.67,571,11,22,16,
From 24370 To 24400,66.07,339,14,7,9,
From 24400 To 24430,99.63,642,20,20,18,
From 24470 To 24500,91.43,670,23,21,25,
From 24500 To 24530,58.27,221,4,6,7,
From 24570 To 24600,38.6,124,4,2,4,
From 24600 To 24630,48.53,265,9,6,5,
From 24671 To 24701,49.0,228,4,7,8,
From 24701 To 24731,55.0,259,4,13,4,
From 24771 To 24801,70.07,455,10,11,12,
From 24801 To 24831,69.17,348,12,12,9,
From 24871 To 24901,87.47,526,16,11,16,
From 24902 To 24932,105.67,698,20,23,19,
From 24972 To 25002,61.57,327,8,8,12,
From 25002 To 25032,79.8,448,15,9,13,
From 25072 To 25102,109.8,701,20,23,16,
From 25102 To 25132,57.8,313,5,11,8,
From 25172 To 25202,90.7,606,8,22,20,
From 25203 To 25233,109.97,717,20,18,22,
From 25274 To 25304,58.23,292,7,8,5,
From 25304 To 25334,80.4,511,13,19,6,
From 25374 To 25404,106.33,689,27,19,23,
From 25404 To 25434,66.43,234,7,11,6,
From 25474 To 25504,50.83,325,7,4,9,
From 25505 To 25535,99.23,660,17,19,19,
From 25575 To 25605,74.87,418,16,9,8,
From 25605 To 25635,48.23,259,4,8,9,
From 25676 To 25706,76.47,521,14,13,11,
From 25707 To 25737,102.57,752,20,22,17,
From 25777 To 25807,50.67,226,9,7,8,
From 25807 To 25837,34.03,196,6,5,4,
From 25878 To 25908,66.3,418,14,10,12,
From 25909 To 25939,48.7,327,7,7,10,
From 29979 To 30009,47.5,339,10,7,8,
From 30009 To 30039,33.97,180,8,7,7,
From 30079 To 30109,31.67,153,5,5,2,
From 30110 To 30140,42.5,236,7,6,7,
From 30180 To 30210,72.47,498,13,10,15,
From 30210 To 30240,69.53,440,9,11,11,
From 30281 To 30311,36.63,210,6,8,8,
From 30311 To 30341,34.43,174,2,10,4,
From 30381 To 30411,33.0,182,7,8,4,
From 30412 To 30442,51.2,309,10,8,15,
From 30482 To 30512,46.1,235,6,8,8,
From 30513 To 30543,61.03,472,14,18,16,
From 30584 To 30614,44.17,231,10,7,11,
From 30617 To 30647,28.87,147,4,5,0,
From 30689 To 30719,43.6,265,4,5,10,
From 30719 To 30749,79.7,499,16,16,12,
From 30789 To 30819,71.0,486,11,13,14,
From 30819 To 30849,58.7,342,8,12,21,
From 30890 To 30920,55.77,319,8,7,8,
From 30920 To 30950,81.4,547,18,12,17,
From 30990 To 31020,79.17,467,9,22,11,
From 31020 To 31050,48.97,264,6,6,7,
From 31090 To 31120,69.67,423,12,14,8,
From 31122 To 31152,81.0,599,11,20,27,
From 31192 To 31222,62.03,360,9,12,10,
From 31222 To 31252,64.67,338,8,9,13,
From 31292 To 31322,82.33,608,13,24,17,
From 31322 To 31352,76.63,493,11,17,17,
From 31393 To 31423,42.8,228,8,4,8,
From 31423 To 31453,56.23,285,6,8,7,
From 31494 To 31524,72.7,532,17,18,12,
From 31524 To 31554,77.73,483,17,12,15,
From 31594 To 31624,39.73,242,9,2,8,
From 31625 To 31655,64.6,298,11,8,8,
From 31695 To 31725,66.87,474,9,18,16,
From 31725 To 31755,76.57,464,9,14,14,
From 31796 To 31826,54.2,237,3,3,5,
From 31826 To 31856,50.2,234,7,9,4,
From 31896 To 31926,78.9,537,23,13,14,
From 31927 To 31957,66.17,466,16,13,8,
From 31997 To 32027,58.3,323,10,6,13,
From 32028 To 32058,63.77,391,12,9,11,
From 32098 To 32128,68.83,416,13,14,6,
From 32128 To 32158,84.7,563,9,24,17,
From 32199 To 32229,47.93,189,6,3,6,
From 32271 To 32301,66.73,424,14,13,10,
From 32301 To 32331,68.3,475,12,12,12,
From 32371 To 32401,78.63,500,21,14,14,
From 32402 To 32432,55.13,313,7,6,11,
From 32473 To 32503,60.67,390,7,13,9,
From 32504 To 32534,49.8,308,10,7,11,
From 32574 To 32604,77.83,479,10,14,15,
From 32604 To 32634,48.2,242,7,4,8,
From 32674 To 32704,52.7,324,10,9,9,
From 32704 To 32734,82.27,518,14,9,20,
From 32775 To 32805,57.17,364,13,9,11,
From 32805 To 32835,54.4,298,8,9,10,
From 32875 To 32905,44.77,220,6,6,8,
From 32905 To 32935,79.2,554,17,16,14,
From 32976 To 33006,73.27,477,15,10,22,
From 33006 To 33036,54.7,266,6,8,9,
From 33076 To 33106,54.9,309,12,6,9,
From 33107 To 33137,62.83,457,14,11,18,
From 33177 To 33207,64.13,429,10,19,11,
From 33208 To 33238,62.13,418,12,12,15,
From 33279 To 33309,38.4,123,4,1,4,
From 33309 To 33339,78.33,512,24,11,9,
From 33380 To 33410,76.07,554,15,18,16,
From 33410 To 33440,55.5,331,8,8,9,
From 33480 To 33510,36.53,173,4,1,4,
From 33510 To 33540,58.13,345,10,8,12,
From 33581 To 33611,71.87,505,15,14,17,
From 33611 To 33641,72.03,480,10,13,16,
From 33681 To 33711,46.97,197,3,8,8,
From 33712 To 33742,56.1,376,11,9,11,
From 33782 To 33812,67.77,435,7,13,13,
From 33812 To 33842,74.07,533,15,19,18,
From 33882 To 33912,44.03,178,4,6,4,
From 33912 To 33942,39.97,211,5,5,3,
From 33983 To 34013,64.6,439,16,14,10,
From 34013 To 34043,63.93,345,11,8,5,
From 34083 To 34113,34.43,51,0,1,1,
