Period,CPUAvg,Concept:514,Encounter:318,Context:524,Encounter:311,BaseOpenmrsData:135,Concept:280,Concept:206,Concept:990,ConceptName:213,Concept:1019,Obs:706,BaseOpenmrsData:49,Concept:1096,BaseOpenmrsData:42,Obs:174,Encounter:369,ServiceContext:134,Encounter:362,Format:60,BaseOpenmrsData:100,Concept:191,Daemon:146,BaseOpenmrsData:107,Concept:217,Daemon:269,Obs:630,Obs:566,Concept:593,OpenmrsUtil:495,Concept:1082,ServiceContext:189,Obs:166,Encounter:55,Concept:347,ConceptServiceImpl:308,BaseOpenmrsObject:33,Obs:411,BaseOpenmrsData:92,Context:347,Concept:224,BaseOpenmrsData:114,BaseOpenmrsData:35,Obs:1107,Obs:559,Concept:1375,Encounter:41,ConceptName:378,Obs:551,UserContext:180,Obs:490,Obs:254,Encounter:341,Encounter:265,ConceptServiceImpl:848,Obs:543,Context:354,Concept:238,BaseOpenmrsData:84,Encounter:411,OpenmrsUtil:508,Encounter:104,LocaleUtility:99,Obs:758,Obs:222,Obs:574,Encounter:76,Concept:557,Obs:425,Obs:534,Context:95,Context:163,HibernateContextDAO:146,Obs:740,Concept:1220,Obs:660,Obs:85,Concept:958,Obs:1070,Obs:970,BaseOpenmrsData:149,Concept:177,Obs:1074,BaseOpenmrsObject:64,Obs:979,Concept:795,HibernateAdministrationDAO:63,BaseOpenmrsData:142,ConceptDatatype:54,Concept:252,Obs:527,Encounter:329,Obs:645,Obs:207,Concept:1121,ServiceContext:342,ConceptName:244,Obs:443,Obs:675,ServiceContext:500,Concept:944,BaseOpenmrsData:77,ConceptName:96,BaseOpenmrsMetadata:37,ConceptName:139,BaseOpenmrsData:70,Obs:237,Person:104,Encounter:275,Context:436,Concept:787,UserContext:131,Concept:266,Encounter:90,Context:269,Encounter:97,LocaleUtility:127,Context:262,Concept:1034,Context:147,Concept:972,ConceptName:237,ConceptName:80,Encounter:69,BaseOpenmrsData:63,ConceptName:84,LocaleUtility:40,Encounter:62,Obs:957,ServiceContext:86,Encounter:83,Obs:653,Concept:86,BaseOpenmrsData:121,Obs:181,Patient:55,BaseOpenmrsData:128,Concept:1027,Obs:581,ConceptServiceImpl:858,Encounter:420,ServiceContext:368,ConceptName:220,Obs:1091,Obs:462,Context:582,Concept:584,BaseOpenmrsData:56
From 1528436138 to 1528436167,77.03,4092,36,3399,36,114076,15702,15702,15702,2656,561,1389,64333,15702,110310,2593,36,44,36,0,2156725,15702,3415,110311,612,5,1389,1389,2046,4372,15702,45502,1389,108,2046,0,1916967,1389,2127270,45502,15702,59111,60499,1389,312,15702,79,2656,1389,3842,272,1389,36,36,150,312,48,15702,108922,72,1766,36,2046,612,1389,38,36,4092,1389,1389,53,48204,1,1389,561,1389,1389,15702,34725,1389,114076,15702,34725,507478,1389,16368,15774,77313,612,15702,1318,72,1389,1389,15702,435,2499,2778,1389,48202,15702,59111,25466,372,30120,108921,1389,1868,36,1724,16368,3374,15702,36,44,36,2046,435,15702,5868,15702,7276,2499,36,59111,873,5888,36,1389,48204,144,435,16336,114076,1389,98,59111,561,1389,272,36,48,2499,1389,1389,3399,12276,110310
From 1528436168 to 1528436197,83.43,5762,29,4450,29,132231,18049,18049,18049,3925,910,1675,69303,18049,128128,2964,29,40,29,0,2439528,18049,3968,128128,699,5,1675,1675,2881,5963,18049,49794,1675,87,2881,0,2159388,1675,2407373,49794,18049,62861,64536,1675,362,18049,81,3925,1675,4975,288,1675,29,29,164,362,55,18049,126453,58,2143,29,2881,699,1675,50,29,5762,1675,1675,60,52888,1,1675,910,1675,1675,18049,41875,1675,132231,18049,41875,559793,1675,23048,17329,82705,699,18049,1464,58,1675,1675,18049,467,3214,3350,1675,52886,18049,62861,37009,414,43536,126453,1675,2223,29,1997,23048,3911,18049,29,40,29,2881,467,18049,7304,18049,10574,3214,29,62861,1272,7856,29,1675,52888,116,504,18734,132231,1675,100,62861,910,1675,288,29,55,3214,1675,1675,4450,17286,128128
From 1528436198 to 1528436227,93.03,5578,43,4846,43,162214,18255,18255,18255,3647,676,1821,88775,18255,156570,4028,43,52,43,0,3113654,18255,4987,156570,950,5,1821,1821,2789,5927,18255,70272,1821,129,2789,0,2786221,1821,3068114,70272,18255,81571,83392,1821,487,18255,100,3647,1821,5500,408,1821,43,43,240,487,64,18255,154749,86,2497,43,2789,950,1821,62,43,5578,1821,1821,69,74295,1,1821,676,1821,1821,18255,45525,1821,162214,18255,45525,745830,1821,22312,24340,109570,950,18255,2030,86,1821,1821,18255,663,3087,3642,1821,74293,18255,81571,34188,553,40608,154749,1821,2474,43,2524,22312,4948,18255,43,52,43,2789,663,18255,8446,18255,9768,3087,43,81571,1163,8289,43,1821,74295,172,684,19136,162214,1821,141,81571,676,1821,408,43,64,3087,1821,1821,4846,16734,156570
From 1528436228 to 1528436258,70.63,2814,21,2676,21,107197,7502,7502,7502,1778,251,1407,56570,7502,103069,2550,21,34,21,0,2019422,7502,3073,103069,600,5,1407,1407,1407,3476,7502,47728,1407,63,1407,0,2062230,1407,1988359,47728,7502,51494,52901,1407,305,7502,64,1778,1407,3072,250,1407,21,21,142,305,43,7502,101662,42,1678,21,1407,600,1407,40,21,2814,1407,1407,48,50248,1,1407,251,1407,1407,7502,35175,1407,107197,7502,35175,576434,1407,11256,16450,70889,600,7502,1252,42,1407,1407,7502,398,1580,2814,1407,50246,7502,51494,16765,351,20088,101662,1407,1849,21,1551,11256,3049,7502,21,34,21,1407,398,7502,4903,7502,4790,1580,21,51494,556,4479,21,1407,50248,84,450,8110,107197,1407,92,51494,251,1407,250,21,43,1580,1407,1407,2676,8442,103069
From 1528436259 to 1528436288,97.77,4102,46,3659,46,159865,16703,16703,16703,2722,638,1113,69655,16703,156370,2115,46,52,46,0,3080447,16703,4570,156370,500,5,1113,1113,2051,4183,16703,51519,1113,138,2051,4,1904289,1113,3047336,51519,16703,62973,64086,1113,267,16703,80,2722,1113,4290,200,1113,46,46,100,267,50,16703,155257,92,2446,46,2051,500,1113,36,46,4102,1113,1113,55,55018,1,1113,642,1113,1113,16703,27825,1113,159865,16703,27825,469303,1113,16408,18092,82648,500,16703,1034,92,1113,1113,16703,323,2268,2226,1113,55016,16703,62973,25914,566,30456,155257,1113,1594,46,2299,16408,4531,16703,46,52,46,2051,323,16703,6906,16703,7404,2268,46,62973,909,6341,46,1113,55018,184,345,17188,159865,1113,111,62973,638,1113,200,46,50,2268,1113,1113,3659,12306,156370
From 1528436289 to 1528436318,92.9,6490,60,5158,60,175334,27433,27433,27433,4341,1044,1626,95751,27433,170043,3237,60,68,60,0,3293160,27433,5182,170043,763,5,1626,1626,3245,6459,27433,68715,1626,180,3245,4,2769872,1626,3248694,68715,27433,88329,89955,1626,386,27433,111,4341,1626,5836,338,1626,60,60,188,386,72,27433,168417,120,2656,60,3245,763,1626,46,60,6490,1626,1626,77,72712,1,1626,1048,1626,1626,27433,40650,1626,175334,27433,40650,718525,1626,25960,23842,115408,763,27433,1636,120,1626,1626,27433,556,3910,3252,1626,72710,27433,88329,41426,562,48720,168417,1626,2359,60,2606,25960,5125,27433,60,68,60,3245,556,27433,8898,27433,11836,3910,60,88329,1434,9081,60,1626,72712,240,555,28174,175334,1626,139,88329,1044,1626,338,60,72,3910,1626,1626,5158,19470,170043
From 1528436319 to 1528436348,66.1,1798,33,1840,33,84968,8431,8431,8431,1154,208,633,57573,8431,80626,1407,33,52,33,0,1581587,8431,2898,80626,329,5,633,633,899,2063,8431,38927,633,99,899,0,2172028,633,1556369,38926,8431,54170,54803,633,154,8431,53,1154,633,2208,146,633,33,33,92,154,42,8431,79993,66,1321,33,899,329,633,22,33,1798,633,633,47,41065,1,633,208,633,633,8431,15825,633,84968,8431,15825,637084,633,7192,13479,70872,329,8431,692,66,633,633,8431,245,1126,1266,633,41064,8431,54170,11277,336,13480,79993,633,1072,33,1476,7192,2863,8431,33,52,33,899,245,8431,3949,8431,3222,1126,33,54170,362,3107,33,633,41066,132,273,8750,84968,633,99,54170,208,633,146,33,42,1126,633,633,1840,5394,80626
From 1528436349 to 1528436378,93.8,7290,67,5434,67,161505,30881,30881,30881,4986,1292,1498,103801,30881,157093,2946,67,88,67,0,3031254,30881,5074,157092,696,5,1498,1498,3645,7000,30881,54872,1498,201,3645,0,2505443,1498,2995962,54872,30881,96715,98213,1498,365,30881,115,4986,1498,6093,290,1498,67,67,162,365,79,30881,155594,134,2580,67,3645,696,1498,48,67,7290,1498,1498,84,58599,1,1498,1292,1498,1498,30881,37450,1498,161505,30881,37450,627324,1498,29160,19176,118310,696,30881,1472,134,1498,1498,30881,478,4285,2996,1498,58597,30881,96715,47705,537,55848,155594,1498,2242,67,2569,29160,4953,30881,67,88,67,3645,478,30881,9100,30881,13630,4285,67,96715,1657,9738,67,1498,58599,268,486,31577,161505,1498,138,96715,1292,1498,290,67,79,4285,1498,1498,5434,21870,157092
From 1528436379 to 1528436408,87.37,6626,27,5049,27,174003,23844,23844,23844,4511,1139,1375,81320,23844,169558,2923,27,52,27,0,3265654,23844,4710,169558,689,5,1375,1375,3313,6297,23844,54859,1375,81,3313,0,2433776,1375,3230326,54859,23844,73772,75147,1375,346,23844,70,4511,1375,5678,306,1375,27,27,200,346,61,23844,168183,54,2719,27,3313,689,1375,46,27,6626,1375,1375,66,58505,1,1375,1139,1375,1375,23844,34375,1375,174003,23844,34375,611328,1375,26504,19175,95481,689,23844,1504,54,1375,1375,23844,526,3752,2750,1375,58503,23844,73772,42980,484,50408,168183,1375,2003,27,2375,26504,4651,23844,27,52,27,3313,526,23844,8428,23844,12280,3752,27,73772,1485,8991,27,1375,58505,108,501,24528,174003,1375,111,73772,1139,1375,306,27,61,3752,1375,1375,5049,19878,169558
From 1528436409 to 1528436438,71.17,4604,46,3682,46,106204,16802,16802,16802,3060,692,1541,63986,16802,103607,2624,46,52,46,0,1998140,16802,3419,103607,616,5,1541,1541,2302,4916,16802,31079,1541,138,2302,0,1512512,1541,1978316,31079,16802,58488,60029,1541,302,16802,95,3060,1541,4134,269,1541,46,46,145,302,47,16802,102066,92,1766,46,2302,616,1541,38,46,4604,1541,1541,52,33705,1,1541,692,1541,1541,16802,38525,1541,106204,16802,38525,372090,1541,18416,10983,70695,616,16802,1287,92,1541,1541,16802,428,2650,3082,1541,33703,16802,58488,29120,355,34344,102066,1541,2037,46,1723,18416,3364,16802,46,52,46,2302,428,16802,6138,16802,8320,2650,46,58488,994,6436,46,1541,33705,184,480,17417,106204,1541,80,58488,692,1541,269,46,47,2650,1541,1541,3682,13812,103607
From 1528436439 to 1528436468,92.0,7292,43,5652,43,155103,26333,26333,26333,4909,1137,1868,88873,26333,151231,3898,43,56,43,0,2950557,26333,4920,151231,918,5,1868,1868,3646,7230,26333,52823,1868,129,3646,0,2148603,1868,2916642,52823,26333,81360,83228,1868,454,26333,103,4909,1868,6307,411,1868,43,43,257,454,69,26333,149363,86,2555,43,3646,918,1868,66,43,7292,1868,1868,74,56712,1,1868,1137,1868,1868,26333,46700,1868,155103,26333,46700,521509,1868,29168,18517,101761,918,26333,1987,86,1868,1868,26333,690,4087,3736,1868,56710,26333,81360,46466,501,54720,149363,1868,2527,43,2482,29168,4824,26333,43,56,43,3646,690,26333,9182,26333,13276,4087,43,81360,1591,9953,43,1868,56712,172,678,27151,155103,1868,113,81360,1137,1868,411,43,69,4087,1868,1868,5652,21876,151231
From 1528436469 to 1528436499,81.63,6158,39,4792,39,154242,22700,22700,22700,4160,1034,1471,86459,22700,148699,2877,39,56,39,0,2907317,22700,4721,148699,678,5,1471,1471,3079,6075,22700,61830,1471,117,3079,0,2827654,1471,2867294,61830,22700,79717,81188,1471,333,22700,84,4160,1471,5411,318,1471,39,39,176,333,67,22700,147228,78,2422,39,3079,678,1471,42,39,6158,1471,1471,72,65505,1,1471,1034,1471,1471,22700,36775,1471,154242,22700,36775,758633,1471,24632,21464,104860,678,22700,1478,78,1471,1471,22700,513,3454,2942,1471,65503,22700,79717,39704,527,46648,147228,1471,2121,39,2390,24632,4646,22700,39,56,39,3079,513,22700,8199,22700,11344,3454,39,79717,1367,8490,39,1471,65505,156,495,23369,154242,1471,133,79717,1034,1471,318,39,67,3454,1471,1471,4792,18474,148699
From 1528436500 to 1528436529,72.23,4150,19,3171,19,109883,18928,18928,18928,2836,766,507,53713,18928,106641,1523,19,28,19,0,2107838,18928,3235,106640,360,5,507,507,2075,3619,18928,38543,507,57,2075,0,1715434,507,2083001,38543,18928,49484,49991,507,183,18928,36,2836,507,3604,162,507,19,19,114,183,39,18928,106134,38,1673,19,2075,360,507,26,19,4150,507,507,44,40975,1,507,766,507,507,18928,12675,507,109882,18928,12675,444371,507,16600,13466,64869,360,18928,804,38,507,507,18928,292,2500,1014,507,40973,18928,49484,26999,346,31552,106134,507,922,19,1643,16600,3191,18928,19,28,19,2075,292,18928,5486,18928,7714,2500,19,49484,949,5679,19,507,40975,76,249,19255,109882,507,74,49484,766,507,162,19,39,2500,507,507,3171,12450,106641
From 1528436530 to 1528436559,85.63,4340,35,3821,35,153496,15752,15752,15752,2801,521,1455,74807,15752,151091,3190,35,56,35,0,2836635,15752,4068,151092,750,5,1455,1455,2170,4628,15752,39537,1455,105,2170,0,1440215,1455,2811354,39537,15752,67455,68910,1455,378,15752,80,2801,1455,4366,314,1455,35,35,184,378,57,15752,149636,70,2560,35,2170,750,1455,50,35,4340,1455,1455,62,42711,1,1455,521,1455,1455,15752,36375,1455,153497,15752,36375,316632,1455,17360,13935,82142,750,15752,1568,70,1455,1455,15752,511,2451,2910,1455,42709,15752,67455,26677,416,31712,149636,1455,2008,35,2042,17360,3990,15752,35,56,35,2170,511,15752,6733,15752,7622,2451,35,67455,899,6536,35,1455,42711,140,570,16472,153497,1455,94,67455,521,1455,314,35,57,2451,1455,1455,3821,13020,151091
From 1528436560 to 1528436589,84.8,6688,23,5044,23,146416,23974,23974,23974,4518,1086,2011,76371,23974,139672,3312,23,24,23,0,2757595,23974,4259,139672,779,5,2011,2011,3344,6940,23974,74431,2011,69,3344,0,3375092,2011,2709067,74431,23974,69462,71473,2011,393,23974,83,4518,2011,5593,334,2011,23,23,178,393,56,23974,137661,46,2280,23,3344,779,2011,46,23,6688,2011,2011,61,77835,1,2011,1086,2011,2011,23974,50275,2011,146416,23974,50275,945535,2011,26752,25580,100123,779,23974,1632,46,2011,2011,23974,532,3775,4022,2011,77833,23974,69462,43043,470,50632,137661,2011,2572,23,2172,26752,4224,23974,23,24,23,3344,532,23974,8133,23974,12298,3775,23,69462,1479,8937,23,2011,77835,92,588,24821,146416,2011,125,69462,1086,2011,334,23,56,3775,2011,2011,5044,20064,139672
From 1528436590 to 1528436619,81.13,2216,33,2132,33,131476,8431,8431,8431,1468,320,699,58258,8431,128724,1300,33,52,33,0,2470807,8431,3162,128724,307,5,699,699,1108,2443,8431,34350,699,99,1108,0,1526866,699,2448728,34350,8431,53130,53829,699,161,8431,54,1468,699,2553,132,699,33,33,67,161,42,8431,128025,66,1928,33,1108,307,699,16,33,2216,699,699,47,36660,1,699,320,699,699,8431,17475,699,131476,8431,17475,384709,699,8864,12040,66641,307,8431,653,66,699,699,8431,206,1388,1398,699,36658,8431,53130,14294,361,16928,128025,699,1131,33,1596,8864,3110,8431,33,52,33,1108,206,8431,4398,8431,4084,1388,33,53130,481,3661,33,699,36660,132,216,8776,131476,699,84,53130,320,699,131,33,42,1388,699,699,2132,6648,128724
From 1528436620 to 1528436649,77.13,5948,28,4691,28,123090,24018,24018,24018,3937,842,1689,77600,24018,119496,3619,28,40,28,0,2321430,24018,4039,119496,855,5,1689,1689,2974,6025,24018,44435,1689,84,2974,0,1940026,1689,2292827,44435,24018,71674,73363,1689,435,24018,79,3937,1689,5218,392,1689,28,28,215,435,61,24018,117807,56,1974,28,2974,855,1689,50,28,5948,1689,1689,66,47670,1,1689,842,1689,1689,24018,42225,1689,123090,24018,42225,488049,1689,23792,15523,89200,855,24018,1869,56,1689,1689,24018,627,3536,3378,1689,47668,24018,71674,37254,396,43944,117807,1689,2281,28,2046,23792,3944,24018,28,40,28,2974,627,24018,7603,24018,10644,3536,28,71674,1277,8192,28,1689,47670,112,597,24795,123090,1689,92,71674,842,1689,393,28,61,3536,1689,1689,4691,17844,119496
From 1528436650 to 1528436680,97.17,8696,58,6641,58,193846,25376,25376,25376,5912,1389,2254,110790,25376,187679,4439,58,84,58,0,3609762,25376,5818,187679,1045,5,2254,2254,4348,8721,25376,69163,2254,174,4348,1,3236508,2254,3565193,69163,25376,101894,104148,2254,523,25376,127,5912,2254,7399,464,2254,58,58,248,523,84,25376,185425,116,3035,58,4348,1045,2254,62,58,8696,2254,2254,89,73667,1,2254,1390,2254,2254,25376,56350,2254,193846,25376,56350,840886,2254,34784,24087,129850,1045,25376,2222,116,2254,2254,25376,735,4949,4508,2254,73665,25376,101894,55811,606,65608,185425,2254,3082,58,2937,34784,5738,25376,58,84,58,4348,735,25376,10849,25376,15946,4949,58,101894,1913,11747,58,2254,73667,232,777,26405,193846,2254,166,101894,1389,2254,464,58,84,4949,2254,2254,6641,26088,187679
From 1528436681 to 1528436710,79.77,4600,45,3847,45,123788,15724,15724,15724,3086,661,1330,74830,15724,120298,2765,45,60,45,1,2414233,15724,4003,120298,652,5,1330,1330,2300,4788,15724,43343,1330,135,2300,0,1831558,1330,2386363,43343,15724,69174,70504,1330,326,15724,85,3086,1330,4374,296,1330,45,45,152,326,54,15724,118968,90,1982,45,2300,652,1330,42,45,4600,1330,1330,59,46473,1,1330,661,1330,1330,15724,33250,1330,123788,15724,33250,463062,1330,18400,15177,86242,652,15724,1396,90,1330,1330,15724,461,2623,2660,1330,46471,15724,69174,29239,447,34504,118968,1330,1881,45,2022,18400,3945,15724,45,60,45,2300,461,15724,6728,15724,8354,2623,45,69174,987,6674,45,1330,46473,180,471,16407,123788,1330,107,69174,661,1330,296,45,54,2623,1330,1330,3847,13800,120298
From 1528436711 to 1528436740,75.9,4478,39,3818,39,122217,8851,8851,8851,2904,477,1732,65250,8851,118729,3604,39,48,39,0,2252809,8851,3343,118729,850,5,1732,1732,2239,4969,8851,45032,1732,117,2239,0,1827514,1732,2223629,45032,8851,59418,61150,1732,435,8851,93,2904,1732,4249,370,1732,39,39,214,435,48,8851,116997,78,1863,39,2239,850,1732,52,39,4478,1732,1732,53,47876,1,1732,477,1732,1732,8851,43300,1732,122217,8851,43300,469669,1732,17912,15593,77208,850,8851,1824,78,1732,1732,8851,591,2353,3464,1732,47874,8851,59418,27048,374,32256,116997,1732,2210,39,1682,17912,3309,8851,39,48,39,2239,591,8851,6239,8851,7728,2353,39,59418,912,6488,39,1732,47876,156,612,9645,122217,1732,98,59418,477,1732,370,39,48,2353,1732,1732,3818,13434,118729
From 1528436741 to 1528436770,90.8,4492,48,4083,48,166945,13434,13434,13434,2965,581,1375,83745,13434,161766,3092,48,64,48,0,3129429,13434,4895,161766,728,5,1375,1375,2246,4760,13434,63597,1375,144,2247,0,2619195,1375,3088328,63597,13434,76521,77896,1375,357,13434,91,2965,1375,4734,336,1375,48,48,166,357,62,13434,160391,96,2624,48,2246,728,1375,46,48,4492,1375,1375,67,67429,1,1375,581,1375,1375,13434,34375,1375,166945,13434,34375,698398,1375,17969,22120,101850,728,13434,1552,96,1375,1375,13434,513,2583,2750,1375,67427,13434,76521,27713,555,32840,160391,1375,2009,48,2463,17969,4866,13434,48,64,48,2246,513,13434,7605,13434,7918,2583,48,76521,937,6980,48,1375,67429,192,540,14160,166945,1375,138,76521,581,1375,336,48,62,2583,1375,1375,4083,13476,161766
From 1528436771 to 1528436800,74.77,5320,59,4139,59,120437,19155,19155,19155,3629,856,1474,85814,19155,116392,2632,59,84,59,0,2318241,19155,4010,116392,621,5,1474,1474,2660,5511,19155,46991,1474,177,2659,0,2069160,1474,2287890,46991,19155,80060,81534,1474,326,19155,104,3629,1474,4647,252,1474,59,59,136,326,62,19155,114918,118,2011,59,2660,621,1474,42,59,5320,1474,1474,67,50044,1,1474,856,1474,1474,19155,36850,1474,120437,19155,36850,534766,1474,21279,16336,98914,621,19155,1292,118,1474,1474,19155,404,3138,2948,1474,50042,19155,80060,34489,460,40504,114918,1474,2082,59,2030,21279,3946,19155,59,84,59,2660,404,19155,7056,19155,9854,3138,59,80060,1183,7307,59,1474,50044,236,444,19753,120437,1474,133,80060,856,1474,252,59,62,3138,1474,1474,4139,15960,116392
From 1528436801 to 1528436830,66.7,3896,48,3292,48,101546,10993,10993,10993,2541,486,1307,60788,10993,98567,2759,48,56,48,0,1870856,10993,3213,98567,650,5,1307,1307,1948,4154,10993,33430,1307,144,1948,1,1577053,1307,1849420,33430,10993,55982,57289,1307,324,10993,88,2541,1307,3713,292,1307,48,48,152,324,49,10993,97260,96,1598,48,1948,650,1307,42,48,3896,1307,1307,54,35947,1,1307,487,1307,1307,10993,32675,1307,101546,10993,32675,407799,1307,15584,11716,69403,650,10993,1384,96,1307,1307,10993,455,2122,2614,1307,35945,10993,55982,23597,344,27928,97260,1307,1771,48,1610,15584,3151,10993,48,56,48,1948,455,10993,5607,10993,6742,2122,48,55982,811,5661,48,1307,35947,192,477,11607,101546,1307,88,55982,486,1307,292,48,49,2122,1307,1307,3292,11688,98567
From 1528436831 to 1528436860,86.2,5504,64,4383,64,168814,24864,24864,24864,3798,1005,1023,83661,24864,165248,2159,64,80,64,0,3230243,24864,4779,165248,505,5,1023,1023,2752,5217,24864,49010,1023,192,2752,0,2018217,1023,3198841,49010,24864,77155,78178,1023,237,24864,96,3798,1023,5026,226,1023,64,64,116,237,57,24864,164225,128,2436,64,2752,505,1023,32,64,5504,1023,1023,62,52564,1,1023,1005,1023,1023,24864,25575,1023,168814,24864,25575,481700,1023,22016,17254,96022,505,24864,1042,128,1023,1023,24864,363,3313,2046,1023,52562,24864,77155,36491,544,42784,164225,1023,1636,64,2404,22016,4743,24864,64,80,64,2752,363,24864,7803,24864,10426,3313,64,77155,1242,7778,64,1023,52564,256,417,25377,168814,1023,126,77155,1005,1023,225,64,57,3313,1023,1023,4383,16512,165248
From 1528436861 to 1528436891,92.03,5222,60,4774,60,167410,21820,21820,21820,3309,541,2093,105833,21820,162292,4252,60,76,60,0,3151889,21820,5379,162292,1007,5,2093,2093,2611,5936,21820,60330,2093,180,2611,0,2674638,2093,3113044,60330,21820,97892,99985,2093,522,21820,124,3309,2093,5472,462,2093,60,60,248,522,81,21820,160199,120,2705,60,2611,1007,2093,60,60,5222,2093,2093,85,64521,1,2093,541,2093,2093,21820,52325,2093,167410,21820,52325,704266,2093,20888,21058,121947,1007,21820,2216,120,2093,2093,21820,728,2972,4186,2093,64519,21820,97892,31724,552,37832,160199,2093,2898,60,2723,20888,5277,21820,60,76,60,2611,728,21820,8664,21820,9064,2972,60,97892,1063,8083,60,2093,64521,240,672,22783,167410,2093,140,97892,541,2093,463,60,81,2972,2093,2093,4774,15666,162292
From 1528436892 to 1528436921,70.6,4040,21,3277,21,106194,12158,12158,12158,2677,539,1343,59635,12158,102644,2658,21,36,21,0,1988033,12158,2971,102644,627,5,1343,1343,2020,4317,12158,39273,1343,63,2020,0,1843125,1343,1962578,39273,12158,54649,55992,1343,315,12158,64,2677,1343,3657,284,1343,21,21,162,315,43,12158,101301,42,1663,21,2020,627,1343,40,21,4040,1343,1343,49,41714,1,1343,539,1343,1343,12158,33575,1343,106194,12158,33575,489565,1343,16160,13601,70657,627,12158,1360,42,1343,1343,12158,456,2179,2686,1343,41712,12158,54649,25445,321,30128,101301,1343,1787,21,1508,16160,2926,12158,21,36,21,2020,456,12158,5432,12158,7270,2179,21,54649,854,5677,21,1343,41714,84,450,12734,106194,1343,83,54649,539,1343,284,21,43,2179,1343,1343,3277,12120,102644
From 1528436922 to 1528436951,103.3,6234,71,5329,71,192585,22915,22915,22915,4116,855,2082,99555,22915,187770,3954,71,86,71,0,3640040,22915,5619,187770,933,5,2082,2082,3117,6696,22915,64939,2082,213,3117,0,2644650,2082,3598249,64939,22915,90553,92635,2082,474,22915,135,4116,2082,6080,416,2082,71,71,232,474,74,22915,185688,142,3076,71,3117,933,2082,58,71,6234,2082,2082,79,69342,1,2082,855,2082,2082,22915,52050,2082,192585,22915,52050,667310,2082,24936,22701,115797,933,22915,2012,142,2082,2082,22915,667,3631,4164,2082,69340,22915,90553,38997,622,46080,185688,2082,2804,71,2821,24936,5557,22915,71,86,71,3117,667,22915,9362,22915,11142,3631,71,90553,1329,9197,71,2082,69342,284,666,23849,192585,2082,151,90553,855,2082,416,71,74,3631,2082,2082,5329,18702,187770
From 1528436952 to 1528436981,101.77,9508,76,7356,76,178180,31346,31346,31346,6306,1385,2908,118160,31346,174001,5611,76,94,76,1,3367063,31346,5880,174001,1324,5,2908,2908,4754,9781,31346,47623,2908,228,4754,0,2363730,2908,3336825,47623,31346,108766,111674,2908,660,31346,167,6306,2908,8128,612,2908,76,76,338,660,89,31346,171093,152,2951,76,4754,1324,2908,86,76,9508,2908,2908,94,52313,1,2908,1385,2908,2908,31346,72700,2908,178180,31346,72700,550761,2908,38032,16919,127525,1324,31346,2882,152,2908,2908,31346,976,5186,5816,2908,52311,31346,108766,59549,585,70248,171093,2908,3772,76,2971,38032,5744,31346,76,94,76,4754,976,31346,11592,31346,17014,5186,76,108766,2045,12882,76,2908,52313,304,945,32602,178180,2908,138,108766,1385,2908,612,76,89,5186,2908,2908,7356,28524,174001
From 1528436982 to 1528437011,71.43,4120,29,3283,29,113641,12055,12055,12055,2783,662,950,66848,12055,109772,2017,29,52,29,0,2110754,12055,3500,109772,478,5,950,950,2060,4072,12055,44192,950,87,2060,0,1998733,950,2082193,44192,12055,61878,62828,950,258,12055,59,2783,950,3735,198,950,29,29,106,258,50,12055,108822,58,1841,29,2060,478,950,32,29,4120,950,950,55,46799,1,950,662,950,950,12055,23750,950,113641,12055,23750,534102,950,16480,15350,79720,478,12055,1018,58,950,950,12055,314,2235,1900,950,46797,12055,61878,26376,368,30944,108822,950,1469,29,1771,16480,3452,12055,29,52,29,2060,314,12055,5816,12055,7536,2235,29,61878,920,5795,29,950,46799,116,315,12517,113641,950,100,61878,662,950,198,29,50,2235,950,950,3283,12360,109772
From 1528437012 to 1528437041,109.47,7114,83,5798,83,201880,18313,18313,18313,4735,1014,2105,114714,18313,195709,4369,83,100,83,0,3758190,18313,5620,195709,1026,5,2105,2105,3557,7404,18313,83172,2105,249,3557,0,3218521,2105,3704172,83172,18313,105011,107116,2105,503,18313,149,4735,2105,6517,454,2105,83,83,248,503,83,18313,193604,166,3423,83,3557,1026,2105,62,83,7114,2105,2105,88,87666,1,2105,1014,2105,2105,18313,52625,2105,201880,18313,52625,841171,2105,28456,28695,137716,1026,18313,2162,166,2105,2105,18313,717,3937,4210,2105,87664,18313,105011,44499,640,52608,193604,2105,2940,83,2822,28456,5584,18313,83,100,83,3557,717,18313,9888,18313,12714,3937,83,105011,1517,10074,83,2105,87666,332,795,19269,201880,2105,190,105011,1014,2105,454,83,83,3937,2105,2105,5798,21342,195709
From 1528437042 to 1528437071,71.67,3482,51,2807,51,102889,14292,14292,14292,2363,589,806,64961,14292,97910,1557,51,60,51,0,1976341,14292,3199,97910,367,5,806,806,1741,3481,14292,50500,806,153,1741,0,2429237,806,1943459,50500,14292,60874,61680,806,196,14292,77,2363,806,3208,140,806,51,51,84,196,44,14292,97104,102,1566,51,1741,367,806,24,51,3482,806,806,49,52894,1,806,589,806,806,14292,20150,806,102889,14292,20150,690952,806,13928,17380,82022,367,14292,756,102,806,806,14292,236,2042,1612,806,52892,14292,60874,22414,400,26288,97104,806,1265,51,1630,13928,3184,14292,51,60,51,1741,236,14292,5143,14292,6404,2042,51,60874,785,4949,51,806,52894,204,267,14687,102889,806,120,60874,589,806,140,51,44,2042,806,806,2807,10446,97910
