 CPUAvg,buy,main, AService:570,ItemDaoImpl:233,SearchController:32,SearchController:91,AController:54,ItemDaoImpl:280,AController:90,AController:114,AuthorDaoImpl:64,SearchController:70,AController:96,AController:134,AController:102,AService:468,DaoImpl:43,AController:108,AController:42
125.47,4403,736,0,17181,4336,4338,120171,0,28589,24189,1431,4338,28589,72567,28589,1431,69118,24189,24139
127.17,4451,767,0,17189,4334,4334,121683,0,28953,24485,1433,4334,28953,73455,28953,1433,70078,24485,24531
131,4682,773,0,16837,4410,4410,126778,0,30199,25505,1403,4410,30199,76515,30199,1403,72124,25505,25471
121.37,4289,711,0,16236,4201,4198,116423,0,27681,23429,1355,4198,27681,70287,27681,1355,66798,23429,23464
117.93,4097,701,0,16719,4122,4121,112028,0,26636,22544,1392,4121,26636,67632,26636,1392,64841,22544,22502
120.73,4233,723,0,16260,4100,4102,115854,0,27587,23317,1357,4102,27587,69951,27587,1357,66833,23317,23309
131.07,4581,796,0,18468,4611,4614,125099,0,29724,25154,1537,4614,29724,75462,29724,1537,72352,25154,25170
117.07,4115,660,0,16134,4043,4044,113571,0,27011,22843,1343,4044,27011,68529,27011,1343,65431,22843,22812
124.63,4279,731,0,17789,4366,4357,116611,0,27707,23465,1485,4357,27707,70395,27707,1485,68408,23465,23539
124.63,4443,750,0,17539,4330,4340,120342,0,28614,24212,1459,4340,28614,72636,28614,1459,69864,24212,24218
121.27,4083,734,0,17220,4165,4162,113186,0,26906,22780,1437,4162,26906,68340,26906,1437,65759,22780,22706
128.13,4516,753,0,17333,4354,4344,121760,0,28980,24502,1446,4344,28980,73506,28980,1446,70171,24502,24507
120,4303,698,0,17515,4415,4428,118578,0,28170,23865,1456,4428,28170,71595,28170,1456,69097,23865,23937
114.43,4001,621,0,15936,3975,3975,109123,0,25963,21937,1328,3975,25963,65811,25963,1328,63182,21937,21908
113.4,3912,666,0,15784,4001,3999,108372,0,25770,21821,1316,3999,25770,65463,25770,1316,62370,21821,21772
118.67,4178,701,0,16340,4082,4084,112859,0,26846,22721,1361,4084,26846,68163,26846,1361,65459,22721,22778
126.07,4440,725,0,17076,4329,4328,120276,0,28628,24192,1423,4328,28628,72573,28628,1423,69381,24191,24174
124.27,4350,737,0,17600,4402,4402,120009,0,28520,24151,1467,4402,28520,72456,28520,1467,69316,24152,24114
121.27,4320,702,0,15856,4105,4106,116109,0,27661,23370,1321,4106,27661,70110,27661,1321,66378,23370,23350
125.23,4325,725,0,17380,4355,4352,118724,0,28238,23896,1450,4352,28238,71688,28238,1450,68965,23896,23978
127.37,4519,777,0,17324,4417,4418,122782,0,29220,24714,1442,4418,29220,74142,29220,1442,70282,24714,24631
124.4,4311,735,0,17338,4348,4348,118240,0,28131,23796,1446,4348,28131,71388,28131,1446,68752,23796,23847
123.13,4347,722,0,16748,4210,4197,118478,0,28181,23828,1398,4197,28181,71484,28181,1398,68251,23828,23869
122.13,4266,673,0,16698,4245,4248,116029,0,27592,23359,1392,4248,27592,70077,27592,1392,67184,23359,23350
124.5,4403,702,0,17572,4380,4386,121150,0,28818,24352,1463,4386,28818,73056,28818,1463,69717,24352,24299
117.4,4177,712,0,17018,4150,4147,113340,0,26963,22845,1417,4147,26963,68535,26963,1417,66435,22845,22904
125.83,4334,712,0,17904,4434,4438,119619,0,28424,24058,1493,4438,28424,72174,28424,1493,69325,24058,24011
125.7,4386,751,0,17632,4397,4398,119234,0,28369,24008,1467,4398,28369,72024,28369,1467,69239,24008,24046
117.23,4070,720,0,15928,3987,3983,111741,0,26619,22498,1330,3983,26619,67494,26619,1330,64405,22498,22470
120.57,4163,709,0,17626,4251,4257,113479,0,26966,22858,1468,4257,26966,68574,26966,1468,66761,22858,22854
121.43,4278,708,0,16263,4168,4168,116243,0,27655,23386,1355,4168,27655,70158,27655,1355,66856,23386,23423
122.57,4272,767,0,17291,4254,4253,116865,0,27808,23528,1441,4253,27808,70584,27808,1441,67465,23528,23433
110.73,3835,621,0,15478,3900,3903,104820,0,24908,21084,1288,3903,24908,63252,24908,1288,60660,21084,21081
129.8,4497,767,0,18655,4570,4569,123571,0,29387,24879,1555,4569,29387,74637,29387,1555,72498,24879,24979
127.1,4358,767,0,17305,4334,4326,119762,0,28478,24097,1447,4326,28478,72291,28478,1447,69138,24097,24045
121.17,4248,681,0,16627,4197,4199,115060,0,27372,23153,1384,4199,27372,69459,27372,1384,66559,23153,23167
120.6,4241,690,0,16545,4152,4158,116355,0,27685,23402,1375,4158,27685,70206,27685,1375,67012,23402,23405
115.6,4198,712,0,15984,4075,4076,114588,0,27267,23066,1332,4076,27267,69198,27267,1332,65665,23066,23057
