Period, CPUAvg, person,encounter,obs,concept,
From 145026 To 145056,95.57,469,13,13,18,
From 145097 To 145127,101.33,523,22,9,7,
From 145127 To 145157,100.4,547,17,16,13,
From 145197 To 145227,97.93,556,14,15,20,
From 145227 To 145257,105.47,482,17,18,10,
From 145297 To 145327,95.03,566,17,18,18,
From 145328 To 145358,101.83,516,18,11,10,
From 145398 To 145428,99.03,563,15,21,16,
From 145428 To 145458,105.93,519,14,14,15,
From 145498 To 145528,94.67,483,10,10,16,
From 145528 To 145558,100.4,543,24,6,18,
From 145599 To 145629,98.37,561,18,13,22,
From 145629 To 145659,103.9,569,18,15,17,
From 145699 To 145729,103.2,561,23,20,11,
From 145729 To 145759,103.4,525,17,15,12,
From 145799 To 145829,93.93,501,14,17,12,
From 145870 To 145900,96.6,484,14,11,11,
From 145900 To 145930,99.63,470,9,16,18,
From 149970 To 150000,95.03,575,19,20,13,
From 150000 To 150030,94.07,526,16,20,14,
From 150070 To 150100,100.4,544,12,14,14,
From 150101 To 150131,98.53,562,13,18,21,
From 150171 To 150201,91.03,446,7,14,13,
From 150201 To 150231,108.37,523,9,12,16,
From 150271 To 150301,95.17,544,14,20,11,
From 150301 To 150331,100.47,567,14,17,22,
From 150372 To 150402,98.2,477,14,15,11,
From 150402 To 150432,70.07,411,9,6,9,
From 150472 To 150502,93.7,529,12,14,19,
From 150502 To 150532,101.7,587,16,13,17,
From 150572 To 150602,92.13,521,14,13,11,
From 150603 To 150633,103.83,449,18,9,13,
From 150673 To 150703,90.47,445,11,13,10,
From 150703 To 150733,82.93,434,11,9,9,
From 150773 To 150803,89.83,377,8,17,12,
From 150804 To 150834,75.87,353,14,8,8,
From 150874 To 150904,82.4,425,18,9,18,
From 150904 To 150934,69.57,314,9,3,10,
From 150974 To 151004,69.73,355,10,10,15,
From 151004 To 151034,83.33,447,10,13,17,
From 151074 To 151104,52.23,217,7,6,7,
From 151105 To 151135,76.43,393,11,15,13,
From 151175 To 151205,63.33,365,10,8,5,
From 151205 To 151235,55.0,191,6,3,10,
From 151275 To 151305,60.33,366,6,13,11,
From 151306 To 151336,81.67,527,16,24,16,
From 151376 To 151406,99.5,541,14,14,18,
From 151406 To 151436,96.93,535,14,22,16,
From 151476 To 151506,96.2,489,15,18,11,
From 151506 To 151536,96.8,595,23,11,15,
From 151576 To 151606,97.07,563,19,15,14,
From 151607 To 151637,94.5,500,13,24,13,
From 151677 To 151707,98.33,439,11,13,16,
From 151707 To 151737,76.77,422,11,14,14,
From 151777 To 151807,91.8,459,13,9,14,
From 151808 To 151838,91.7,543,22,20,9,
From 151878 To 151908,94.33,521,17,12,20,
From 151908 To 151938,94.43,560,17,13,23,
From 151978 To 152008,91.77,459,8,14,10,
From 152008 To 152038,88.17,443,14,11,7,
From 152079 To 152109,90.77,475,12,9,13,
From 152109 To 152139,97.8,600,16,16,14,
From 152179 To 152209,105.3,516,7,14,13,
From 152209 To 152239,102.27,531,10,13,18,
From 152279 To 152309,83.37,481,13,10,17,
From 152310 To 152340,102.8,506,11,17,11,
From 152380 To 152410,104.17,567,17,24,13,
From 152410 To 152440,97.2,585,18,19,21,
From 152480 To 152510,96.0,544,15,16,21,
From 152511 To 152541,98.57,561,16,18,13,
From 152581 To 152611,99.43,487,15,12,10,
From 152611 To 152641,102.43,495,16,16,9,
From 152681 To 152711,99.8,500,15,16,12,
From 152711 To 152741,88.67,448,11,12,18,
From 152782 To 152812,95.37,542,16,12,15,
From 152812 To 152842,98.63,534,13,14,18,
From 152882 To 152912,95.53,527,17,14,11,
From 152912 To 152942,102.23,512,10,19,15,
From 152983 To 153013,99.3,568,16,13,15,
From 153013 To 153043,99.1,571,14,19,18,
From 153083 To 153113,95.67,548,17,18,16,
From 153113 To 153143,96.27,535,17,17,19,
From 153183 To 153213,103.7,516,12,16,18,
From 153214 To 153244,102.5,568,18,15,21,
From 153284 To 153314,95.73,521,15,16,13,
From 153314 To 153344,97.77,537,12,16,10,
From 153384 To 153414,97.23,488,10,16,15,
From 153414 To 153444,103.1,515,16,17,14,
From 153485 To 153515,98.63,482,9,14,15,
From 153515 To 153545,101.6,499,9,20,18,
From 153585 To 153615,98.03,560,19,18,14,
From 153615 To 153645,98.3,560,14,14,18,
From 153685 To 153715,99.2,548,21,18,22,
