Period,CPUAvg,ConceptServiceImpl:848,Concept:1220,BaseOpenmrsObject:81,BaseOpenmrsObject:64,BaseOpenmrsObject:66,BaseOpenmrsObject:70,Concept:1226,Encounter:69
From 1528476889 to 1528476918,94.77,150,835,34438,1266442,143,224,835,55
From 1528476919 to 1528476948,101.8,246,1058,23980,876637,137,230,1058,85
From 1528476949 to 1528476978,94.43,276,972,24517,891792,141,236,972,88
From 1528476979 to 1528477009,104.97,226,1379,17571,658881,120,208,1379,63
From 1528477010 to 1528477039,107.17,320,1060,35175,1321979,156,250,1060,73
From 1528477040 to 1528477069,98.13,254,819,30413,1137764,142,230,819,63
From 1528477070 to 1528477099,94.97,268,1336,29859,1098738,140,226,1336,79
From 1528477100 to 1528477129,80.83,302,1416,14064,525982,113,200,1416,45
From 1528477130 to 1528477159,89.17,134,949,20959,782268,100,162,949,64
From 1528477160 to 1528477189,98.33,276,1428,15071,556984,120,212,1428,81
From 1528477190 to 1528477220,101.03,256,1485,25623,954686,136,226,1485,45
From 1528477221 to 1528477250,102.5,290,1370,20212,725002,133,228,1370,90
From 1528477251 to 1528477280,93.37,374,1160,21641,788792,126,212,1160,59
From 1528477281 to 1528477310,103.73,292,1251,19343,720716,130,224,1251,79
From 1528477311 to 1528477340,103.07,196,1264,32825,1234191,146,234,1264,67
From 1528477341 to 1528477370,105.37,288,1353,30123,1117004,150,248,1353,81
From 1528477371 to 1528477401,101.77,272,969,30476,1144954,143,230,969,48
From 1528477402 to 1528477431,108.5,202,989,38514,1441444,155,242,989,68
From 1528477432 to 1528477461,102.73,175,1249,21680,791718,129,218,1249,90
From 1528477462 to 1528477491,106.57,215,812,36931,1365223,156,246,812,65
From 1528477492 to 1528477521,103.93,222,887,24781,934647,126,208,887,66
From 1528477522 to 1528477551,100.17,300,875,22656,830341,115,190,875,56
From 1528477552 to 1528477581,100.7,258,1344,22653,853190,136,230,1344,80
From 1528477582 to 1528477612,100.93,342,1143,18194,661689,127,220,1143,95
From 1528477613 to 1528477642,103.53,126,1210,27517,1009610,134,218,1210,72
From 1528477643 to 1528477672,103.83,231,1245,26692,993024,133,218,1245,58
From 1528477673 to 1528477702,105.07,289,963,33689,1253069,158,256,963,66
From 1528477703 to 1528477732,100.03,352,1033,16882,606880,123,214,1033,89
From 1528477733 to 1528477762,88.97,254,643,25398,938481,119,192,643,40
From 1528477763 to 1528477792,65.97,144,831,17674,668014,79,126,831,26
From 1528477793 to 1528477823,38.87,96,200,9149,335154,46,74,200,27
From 1528477824 to 1528477853,55.0,98,250,18782,707771,67,100,250,21
From 1528477854 to 1528477883,42.97,72,483,5737,210410,50,88,483,21
From 1528477884 to 1528477913,53.43,100,564,13870,513417,55,84,564,24
From 1528477914 to 1528477943,29.77,86,268,5906,223044,31,50,268,8
From 1528477944 to 1528477973,35.8,40,238,6885,252827,34,54,238,4
From 1528477974 to 1528478004,73.77,232,649,14172,534422,85,144,649,45
From 1528478005 to 1528478034,104.7,280,1246,27919,1041348,132,214,1245,47
From 1528478035 to 1528478064,103.4,133,1369,35343,1290648,156,248,1370,66
From 1528478065 to 1528478094,100.53,289,1520,18174,658156,135,236,1520,91
From 1528478095 to 1528478124,100.9,326,1214,20683,760867,124,210,1214,53
From 1528478125 to 1528478154,100.67,262,1048,23802,904680,131,220,1048,70
From 1528478155 to 1528478184,93.87,294,814,28065,1050611,130,210,814,49
From 1528478185 to 1528478214,87.23,184,1023,22733,826048,122,202,1023,73
From 1528478215 to 1528478245,88.03,236,1197,17805,675185,118,204,1197,78
From 1528478246 to 1528478275,84.67,340,866,22015,815895,120,200,866,69
From 1528478276 to 1528478305,79.9,264,1083,17702,668373,115,198,1083,58
From 1528478306 to 1528478335,102.17,181,1333,25576,951675,125,204,1332,78
From 1528478336 to 1528478365,104.97,379,1056,29807,1136788,148,244,1057,72
