 CPUAvg, ConceptServiceImpl:972,ConceptServiceImpl:939,ConceptServiceImpl:929,ConceptServiceImpl:298,ConceptServiceImpl:249,ConceptServiceImpl:80,ConceptServiceImpl:325
103.9,0,1144,678,44,0,0,0
102.47,0,588,323,44,0,0,0
102.27,0,992,570,44,0,0,0
99.3,0,836,453,53,0,0,0
102.7,0,966,526,40,8,0,8
103.07,0,838,477,49,0,0,0
101.1,0,835,454,60,0,0,0
100.87,0,993,593,52,0,0,0
99.97,0,1043,582,36,1,0,1
102.4,0,1002,559,50,1,0,1
103.77,0,937,523,51,0,0,0
102.77,0,794,456,41,0,0,0
103.2,0,971,538,46,0,0,0
101.87,0,971,528,44,0,0,0
103.3,0,950,538,54,1,0,1
103.7,0,896,485,37,0,0,0
103.23,0,1068,581,47,0,0,0
103.23,0,674,389,44,0,0,0
101.83,0,1016,591,30,0,0,0
100.83,0,858,462,39,0,0,0
101.07,0,1206,660,35,8,0,8
100.53,0,1048,626,50,0,0,0
102.1,0,780,432,37,0,0,0
99.87,0,820,432,42,0,0,0
101.4,0,856,464,59,0,0,0
99.97,0,930,537,34,0,0,0
102.8,0,846,469,52,1,0,1
102,0,908,532,52,0,0,0
101.4,0,816,424,42,0,0,0
99.77,0,962,536,47,0,0,0
101.6,0,894,470,47,0,0,0
101,0,890,498,41,8,0,8
98.47,0,1055,604,45,0,0,0
101.4,0,876,503,51,0,0,0
100.87,0,861,477,55,0,0,0
101.4,0,950,538,42,0,0,0
101.23,0,965,508,43,0,0,0
