Period,CPUAvg,Concept:1027,BaseOpenmrsObject:82,Person:186,BaseOpenmrsObject:65,BaseOpenmrsObject:67,BaseOpenmrsObject:71
From 1532369089 to 1532369118,102.13,1074,24071,14,1413015,80,132
From 1532369119 to 1532369149,104.73,593,27493,13,1601005,86,140
From 1532369150 to 1532369179,103.93,687,25699,14,1497826,84,138
From 1532369180 to 1532369209,101.2,557,21140,11,1287429,81,138
From 1532369210 to 1532369239,110.33,642,39372,19,2343027,101,158
From 1532369240 to 1532369269,100.47,966,26360,16,1572777,89,147
From 1532369270 to 1532369299,102.2,634,20326,11,1192337,79,135
From 1532369300 to 1532369330,102.2,964,25525,16,1472019,90,150
From 1532369331 to 1532369360,109.07,569,35649,16,2121723,102,164
From 1532369361 to 1532369390,116.27,518,41042,24,2431301,107,168
From 1532369391 to 1532369420,105.37,1396,26219,13,1554031,96,162
From 1532369421 to 1532369450,100.77,479,18734,10,1112638,71,120
From 1532369451 to 1532369480,106.53,521,26664,14,1609578,85,140
From 1532369481 to 1532369511,95.0,831,27909,14,1647611,78,124
From 1532369512 to 1532369541,86.47,291,18580,12,1094793,69,116
From 1532369542 to 1532369571,107.4,1025,29739,11,1751742,96,158
From 1532369572 to 1532369601,108.3,513,18688,14,1106771,81,140
From 1532369602 to 1532369631,101.93,428,27651,16,1617437,88,144
From 1532369632 to 1532369661,101.0,853,18634,10,1099322,79,136
From 1532369662 to 1532369692,105.2,717,31310,16,1831849,91,146
From 1532369693 to 1532369722,103.27,437,18851,10,1126883,76,130
From 1532369723 to 1532369752,102.17,391,24471,15,1459583,84,140
From 1532369753 to 1532369782,104.4,1107,27844,13,1639489,89,146
From 1532369783 to 1532369812,103.93,624,18965,12,1138173,82,142
From 1532369813 to 1532369842,89.77,442,31832,15,1890666,77,118
From 1532369843 to 1532369873,107.87,619,28730,10,1747261,75,118
From 1532369874 to 1532369903,100.6,1002,24223,18,1430095,88,148
From 1532369904 to 1532369933,101.8,800,24454,11,1456661,83,138
From 1532369934 to 1532369963,96.8,620,3784,6,223823,57,108
From 1532369964 to 1532369993,104.6,436,29996,16,1786979,81,128
From 1532369994 to 1532370024,106.5,643,30129,15,1799790,90,146
From 1532370025 to 1532370054,103.67,814,18595,11,1094859,68,114
From 1532370055 to 1532370084,103.3,659,22526,12,1340379,79,132
From 1532370085 to 1532370114,111.9,768,43082,22,2562390,107,166
From 1532370115 to 1532370144,93.03,273,36985,21,2172765,78,114
From 1532370145 to 1532370174,111.37,662,33408,15,1967420,101,164
From 1532370175 to 1532370205,108.9,604,34834,22,2026540,103,165
From 1532370206 to 1532370235,103.73,422,26295,9,1607773,87,145
From 1532370236 to 1532370265,104.07,441,28467,18,1714331,88,144
From 1532370266 to 1532370295,102.13,1088,26358,15,1571819,103,176
From 1532370296 to 1532370325,96.43,698,18948,10,1135986,77,132
From 1532370326 to 1532370356,103.5,613,35558,20,2109371,99,158
From 1532370357 to 1532370386,104.5,988,24007,11,1405687,84,140
From 1532370387 to 1532370416,99.5,910,17261,11,1049599,82,144
From 1532370417 to 1532370446,105.83,850,29827,14,1763356,92,150
From 1532370447 to 1532370476,102.5,591,33771,16,2008749,84,130
From 1532370477 to 1532370506,95.7,836,22664,13,1357991,85,144
From 1532370507 to 1532370537,103.4,558,24209,16,1430202,82,136
From 1532370538 to 1532370567,108.4,780,20971,10,1267092,76,128
From 1532370568 to 1532370597,99.13,589,22013,11,1278751,82,138
From 1532370598 to 1532370627,106.03,646,30257,15,1813950,94,154
From 1532370628 to 1532370657,102.37,915,18616,13,1100712,77,132
From 1532370658 to 1532370687,103.73,963,31597,15,1860970,98,160
From 1532370688 to 1532370718,95.0,1008,22069,12,1285859,78,130
From 1532370719 to 1532370748,90.0,386,21925,14,1269994,74,122
From 1532370749 to 1532370778,94.43,1321,17102,8,1072539,73,126
From 1532370779 to 1532370808,103.97,549,37891,13,2278429,92,142
From 1532370809 to 1532370838,95.33,1179,20593,18,1220776,90,156
From 1532370839 to 1532370868,103.3,632,36013,17,2167175,94,148
From 1532370869 to 1532370899,103.27,926,28109,16,1669653,86,140
From 1532370900 to 1532370929,101.57,833,30326,16,1823654,87,140
From 1532370930 to 1532370959,103.7,569,26282,14,1563111,91,152
From 1532370960 to 1532370989,99.7,789,29630,15,1739456,99,164
From 1532370990 to 1532371019,100.23,476,16835,11,997083,72,124
From 1532371020 to 1532371050,107.53,556,48365,16,2873141,100,148
From 1532371051 to 1532371080,78.0,600,10004,15,616413,52,88
From 1532371081 to 1532371110,90.13,657,21076,12,1277193,73,122
From 1532371111 to 1532371140,100.6,1043,18517,6,1088854,66,110
From 1532371141 to 1532371170,96.9,486,31272,19,1825289,101,166
From 1532371171 to 1532371201,74.8,628,22526,14,1338381,67,108
From 1532371202 to 1532371231,100.17,809,27762,12,1629687,91,150
From 1532371232 to 1532371262,83.77,594,14679,8,853413,56,94
From 1532371263 to 1532371292,94.63,1186,24280,16,1436089,93,158
From 1532371293 to 1532371322,99.7,659,26487,11,1590389,92,154
From 1532371323 to 1532371353,54.63,410,13173,4,785158,46,76
From 1532371354 to 1532371383,58.03,314,13502,9,825764,43,70
From 1532371384 to 1532371414,62.8,400,11623,10,712190,52,90
From 1532371415 to 1532371444,101.9,1035,26311,10,1569227,82,136
From 1532371445 to 1532371475,82.17,596,17287,11,1051784,66,110
From 1532371476 to 1532371505,91.33,389,21001,12,1269322,78,132
From 1532371506 to 1532371535,84.97,615,13166,6,784319,67,118
From 1532371536 to 1532371565,90.6,701,23285,14,1430229,82,138
From 1532371566 to 1532371596,81.07,379,33987,16,2036218,88,138
From 1532371597 to 1532371626,77.07,385,22433,12,1331205,66,106
From 1532371627 to 1532371656,80.97,507,24484,10,1461305,69,110
From 1532371657 to 1532371686,104.33,370,34450,15,2093402,87,136
From 1532371687 to 1532371717,98.03,918,18928,13,1133492,81,140
From 1532371718 to 1532371747,94.33,466,9746,9,600243,63,114
From 1532371748 to 1532371777,97.33,523,20821,8,1249266,74,124
From 1532371778 to 1532371808,98.03,662,37336,18,2212391,93,144
From 1532371809 to 1532371838,89.83,517,31821,21,1778091,87,140
From 1532371839 to 1532371868,95.6,446,20351,8,1191899,80,136
From 1532371869 to 1532371898,83.93,704,14680,12,852599,73,128
From 1532371899 to 1532371929,87.03,673,29613,14,1740522,78,122
From 1532371930 to 1532371959,95.87,1019,25984,12,1529292,85,140
From 1532371960 to 1532371989,86.13,408,24621,10,1478915,66,104
From 1532371990 to 1532372019,73.4,317,7643,10,462008,48,86
From 1532372020 to 1532372050,95.7,843,34132,13,2050107,101,164
From 1532372051 to 1532372080,69.83,1079,11493,6,696351,54,94
From 1532372081 to 1532372110,49.97,417,11126,10,653084,43,72
From 1532372111 to 1532372140,56.47,301,5641,4,335537,22,36
From 1532372141 to 1532372170,55.0,504,9816,5,611253,41,70
From 1532372171 to 1532372201,69.1,739,13067,7,770904,64,112
From 1532372202 to 1532372231,78.43,283,26220,11,1557846,73,116
From 1532372232 to 1532372261,58.53,278,24200,10,1432939,53,78
From 1532372262 to 1532372291,80.8,744,20757,13,1243916,70,116
From 1532372292 to 1532372321,83.8,1047,9482,10,568258,59,106
From 1532372322 to 1532372352,102.0,947,43111,10,2564118,96,144
From 1532372353 to 1532372382,68.63,599,12987,16,763267,52,88
From 1532372383 to 1532372412,96.67,821,19063,13,1152427,72,122
From 1532372413 to 1532372442,100.13,1016,24463,13,1456949,84,139
From 1532372443 to 1532372473,98.77,423,33535,15,1983847,96,155
From 1532372474 to 1532372504,88.6,314,25820,15,1511523,81,132
From 1532372505 to 1532372534,102.6,619,37112,19,2184785,97,152
From 1532372535 to 1532372564,96.7,651,20169,12,1171977,78,132
From 1532372565 to 1532372594,71.2,459,16500,6,959054,57,94
From 1532372595 to 1532372624,70.4,670,14703,10,858502,50,84
From 1532372625 to 1532372655,46.77,353,7357,8,427603,48,84
From 1532372656 to 1532372685,76.0,280,21127,3,1287578,52,80
From 1532372686 to 1532372715,45.5,255,7596,11,455231,37,64
From 1532372716 to 1532372745,75.43,753,20642,4,1228220,63,102
From 1532372746 to 1532372775,64.53,431,18982,14,1145582,51,80
From 1532372776 to 1532372806,61.1,614,13293,4,799083,46,76
From 1532372807 to 1532372836,73.83,470,13124,9,778980,53,90
From 1532372837 to 1532372866,92.73,734,13489,12,823276,62,108
From 1532372867 to 1532372896,97.07,419,22568,8,1343089,85,144
From 1532372897 to 1532372926,69.53,479,16870,11,1001040,67,114
From 1532372927 to 1532372957,104.63,913,22491,12,1335794,92,158
From 1532372958 to 1532372987,108.43,841,28396,17,1704753,85,138
From 1532372988 to 1532373017,113.63,450,34357,14,2080697,90,142
From 1532373018 to 1532373047,104.73,798,34007,17,2040323,92,146
From 1532373048 to 1532373077,103.93,689,36245,21,2189572,98,156
From 1532373078 to 1532373108,95.63,997,11283,9,670711,68,122
From 1532373109 to 1532373138,105.53,557,33486,16,1979746,89,142
From 1532373139 to 1532373168,96.1,782,20639,7,1226625,82,138
From 1532373169 to 1532373198,96.53,413,20509,14,1211864,74,124
From 1532373199 to 1532373228,96.03,510,42510,23,2494136,91,134
From 1532373229 to 1532373259,90.77,1131,20492,10,1208312,85,146
From 1532373260 to 1532373289,96.83,441,25756,16,1505340,69,108
From 1532373290 to 1532373319,98.1,659,34135,13,2054100,92,145
From 1532373320 to 1532373349,93.63,920,18553,16,1090767,82,143
From 1532373350 to 1532373379,99.23,667,32196,14,1933389,97,158
From 1532373380 to 1532373410,97.63,628,17155,12,1035680,72,124
From 1532373411 to 1532373440,92.57,551,31653,17,1871726,86,136
From 1532373441 to 1532373470,101.07,776,21121,12,1285338,90,156
From 1532373471 to 1532373500,89.07,712,37735,17,2258718,92,142
From 1532373501 to 1532373530,98.97,399,26376,17,1575753,81,132
From 1532373531 to 1532373561,93.8,841,15226,8,916946,75,132
From 1532373562 to 1532373591,92.13,638,24557,13,1470791,78,128
From 1532373592 to 1532373621,102.33,800,26538,10,1597949,75,120
From 1532373622 to 1532373651,99.67,838,20684,13,1233226,77,130
From 1532373652 to 1532373681,100.13,931,26172,15,1549646,89,147
From 1532373682 to 1532373712,99.6,848,22220,9,1302491,85,145
From 1532373713 to 1532373742,102.37,615,33251,16,1948610,88,138
From 1532373743 to 1532373772,99.83,377,18397,16,1073438,78,134
From 1532373773 to 1532373802,101.03,1293,27479,15,1594695,96,160
From 1532373803 to 1532373832,104.77,745,26508,11,1593393,85,140
From 1532373833 to 1532373863,107.17,632,38245,19,2318580,98,154
From 1532373864 to 1532373893,98.93,862,24231,12,1429224,92,156
From 1532373894 to 1532373923,94.73,234,20599,15,1224602,72,120
From 1532373924 to 1532373953,102.5,663,35864,20,2147708,101,162
From 1532373954 to 1532373983,103.23,1085,37136,11,2188795,89,136
From 1532373984 to 1532374014,104.23,577,29023,23,1694010,82,132
From 1532374015 to 1532374044,102.73,955,25653,15,1510232,96,162
From 1532374045 to 1532374074,104.13,628,28001,11,1655739,88,144
From 1532374075 to 1532374104,79.53,315,21922,14,1333813,65,104
From 1532374105 to 1532374134,99.67,627,18662,7,1102234,71,120
From 1532374135 to 1532374165,97.23,348,13455,11,819198,56,96
From 1532374166 to 1532374195,99.13,684,18744,11,1111718,81,140
From 1532374196 to 1532374225,104.7,990,24512,13,1466876,93,158
From 1532374226 to 1532374255,103.0,615,27602,14,1608400,87,142
From 1532374256 to 1532374285,102.27,889,27537,8,1603006,84,138
From 1532374286 to 1532374316,92.33,651,29961,18,1778175,96,156
From 1532374317 to 1532374346,108.57,515,33555,19,2029071,97,156
From 1532374347 to 1532374376,94.93,733,13221,12,793264,70,124
From 1532374377 to 1532374406,103.93,879,35797,19,2134816,102,164
From 1532374407 to 1532374436,102.37,501,26904,10,1638065,81,132
From 1532374437 to 1532374467,92.87,871,20851,11,1250722,84,144
From 1532374468 to 1532374497,103.53,562,22555,15,1344833,72,118
From 1532374498 to 1532374527,97.0,828,22894,12,1383988,87,148
From 1532374528 to 1532374557,94.83,998,16833,8,994501,82,144
From 1532374558 to 1532374588,102.97,582,29392,13,1713385,85,136
From 1532374589 to 1532374618,95.3,709,18915,14,1133153,68,114
From 1532374619 to 1532374648,101.63,563,28357,15,1700299,86,140
From 1532374649 to 1532374678,102.6,419,22987,12,1394911,84,142
From 1532374679 to 1532374708,98.1,529,19253,8,1175430,66,110
From 1532374709 to 1532374739,98.63,878,16691,11,980560,80,140
From 1532374740 to 1532374769,78.27,715,26012,14,1529328,73,116
From 1532374770 to 1532374799,97.77,688,27507,5,1601780,76,120
From 1532374800 to 1532374829,71.1,222,11006,17,638468,55,96
From 1532374830 to 1532374859,101.57,966,22267,12,1310886,80,134
From 1532374860 to 1532374890,107.5,1457,33608,17,1990459,110,180
From 1532374891 to 1532374920,99.53,787,24153,14,1422267,86,144
From 1532374921 to 1532374950,96.87,771,16773,8,991157,70,120
From 1532374951 to 1532374980,104.37,719,35994,14,2164605,103,166
From 1532374981 to 1532375010,97.13,459,21000,16,1269993,81,138
From 1532375011 to 1532375041,100.33,717,26448,7,1584441,93,156
From 1532375042 to 1532375071,106.37,452,19825,16,1143385,80,138
From 1532375072 to 1532375101,101.37,806,27156,14,1653797,91,150
From 1532375102 to 1532375131,101.93,976,26556,15,1595445,89,148
From 1532375132 to 1532375161,96.23,1172,22929,13,1389726,82,138
From 1532375162 to 1532375192,92.13,973,19020,11,1146492,73,124
From 1532375193 to 1532375222,72.77,413,18679,7,1108012,56,90
From 1532375223 to 1532375252,85.4,519,14950,8,885634,55,92
From 1532375253 to 1532375282,75.57,543,14951,5,886353,48,78
From 1532375283 to 1532375312,84.37,642,15047,10,894831,64,110
From 1532375313 to 1532375343,78.13,317,17176,13,1039620,53,86
From 1532375344 to 1532375373,68.6,361,13107,4,775744,52,88
From 1532375374 to 1532375403,79.27,602,22317,13,1318835,62,98
From 1532375404 to 1532375433,84.6,677,18930,10,1135349,63,104
From 1532375434 to 1532375464,109.93,731,31806,16,1886851,103,170
From 1532375465 to 1532375494,84.9,514,30401,16,1872669,82,130
From 1532375495 to 1532375524,98.37,695,20577,14,1221440,82,140
From 1532375525 to 1532375554,103.77,866,28710,14,1739798,91,150
From 1532375555 to 1532375585,107.83,1116,39332,20,2337515,113,182
From 1532375586 to 1532375615,106.1,1020,20667,12,1232479,72,120
From 1532375616 to 1532375645,95.27,726,22848,13,1375854,81,136
From 1532375646 to 1532375675,105.37,608,37389,17,2218428,106,170
From 1532375676 to 1532375705,95.37,880,17115,10,1029366,76,132
From 1532375706 to 1532375736,103.27,651,26092,13,1543069,85,140
From 1532375737 to 1532375766,97.37,953,35966,17,2157787,99,158
From 1532375767 to 1532375796,99.03,982,22443,13,1330653,76,126
From 1532375797 to 1532375826,98.2,822,28202,13,1681406,87,142
From 1532375827 to 1532375856,92.63,867,11607,10,708304,60,106
From 1532375857 to 1532375887,97.6,847,22865,8,1381055,74,122
From 1532375888 to 1532375917,94.1,897,26365,14,1574498,86,142
From 1532375918 to 1532375947,98.83,589,29155,15,1690411,82,132
From 1532375948 to 1532375977,104.43,616,35677,22,2121633,96,150
From 1532375978 to 1532376007,112.07,986,33301,22,1955974,98,158
From 1532376008 to 1532376038,104.87,686,26450,11,1626442,86,142
From 1532376039 to 1532376068,69.93,651,23949,13,1398525,74,120
From 1532376069 to 1532376098,103.8,803,23048,11,1403069,77,128
From 1532376099 to 1532376128,102.6,862,22552,13,1343663,85,144
From 1532376129 to 1532376158,102.1,979,22710,12,1361409,79,132
From 1532376159 to 1532376189,110.77,761,29952,17,1778445,97,160
From 1532376190 to 1532376219,105.33,668,28184,17,1677988,93,154
From 1532376220 to 1532376249,105.0,602,30608,14,1858909,85,136
From 1532376250 to 1532376279,103.1,909,24366,14,1446837,87,146
From 1532376280 to 1532376309,100.53,660,20867,12,1254650,72,120
From 1532376310 to 1532376340,110.3,613,45553,20,2744917,106,162
From 1532376341 to 1532376370,104.83,580,36228,20,2192279,101,162
From 1532376371 to 1532376400,96.67,449,21231,14,1298812,64,104
From 1532376401 to 1532376430,96.33,626,11421,5,686788,66,118
From 1532376431 to 1532376460,104.1,736,26284,13,1563695,85,140
From 1532376461 to 1532376491,105.63,900,29714,17,1748340,107,180
From 1532376492 to 1532376521,107.43,559,36898,19,2160817,95,147
From 1532376522 to 1532376551,94.9,815,12822,7,742762,75,135
From 1532376552 to 1532376581,104.43,765,24305,15,1442207,94,160
From 1532376582 to 1532376612,105.0,818,30356,16,1827949,89,144
From 1532376613 to 1532376642,81.7,663,34580,12,2104211,81,124
From 1532376643 to 1532376672,75.73,611,13066,12,771535,67,118
