Period, CPUAvg, person,concept,obs,encounter,
From 150516 To 150546,75.43,324,15,9,9,
From 150586 To 150616,64.53,256,6,6,4,
From 150617 To 150647,61.1,252,12,6,9,
From 150687 To 150717,73.83,307,10,9,12,
From 150717 To 150747,92.73,494,12,9,15,
From 150787 To 150817,97.07,483,13,18,23,
From 150817 To 150847,69.53,373,10,14,9,
From 150888 To 150918,104.63,594,23,17,15,
From 150918 To 150948,108.43,495,17,10,12,
From 150988 To 151018,113.63,440,14,12,10,
From 151018 To 151048,104.73,484,15,13,11,
From 151088 To 151118,103.93,447,14,15,12,
From 151119 To 151149,95.63,525,20,14,12,
From 151189 To 151219,105.53,514,11,16,11,
From 151219 To 151249,96.1,503,14,19,13,
From 151289 To 151319,96.53,493,8,14,15,
From 151319 To 151349,96.03,382,11,7,6,
From 151390 To 151420,90.77,514,21,13,15,
From 151420 To 151450,96.83,394,9,6,13,
From 151490 To 151520,98.1,491,13,15,11,
From 151520 To 151550,93.63,519,15,20,12,
From 151590 To 151620,99.23,486,16,13,16,
From 151621 To 151651,97.63,504,11,12,18,
From 151691 To 151721,92.57,448,12,16,9,
From 151721 To 151751,101.07,552,15,16,21,
From 151791 To 151821,89.07,406,13,9,15,
From 151821 To 151851,98.97,425,10,13,11,
From 151892 To 151922,93.8,530,15,16,17,
From 151922 To 151952,92.13,437,12,14,12,
From 151992 To 152022,102.33,412,16,8,15,
From 152022 To 152052,99.67,440,15,7,15,
From 152092 To 152122,100.13,538,17,10,21,
From 152123 To 152153,99.6,527,20,11,18,
From 152193 To 152223,102.37,494,14,12,13,
From 152223 To 152253,99.83,515,9,16,13,
From 152293 To 152323,101.03,527,20,19,15,
From 152323 To 152353,104.77,509,10,17,15,
From 152394 To 152424,107.17,521,13,13,14,
From 152424 To 152454,98.93,517,17,17,16,
From 152494 To 152524,94.73,412,8,13,12,
From 152524 To 152554,102.5,474,11,14,20,
From 152594 To 152624,103.23,436,16,7,10,
From 152625 To 152655,104.23,549,11,9,14,
From 152695 To 152725,102.73,558,18,17,16,
From 152725 To 152755,104.13,474,11,19,11,
From 152795 To 152825,79.53,303,7,13,8,
From 152825 To 152855,99.67,481,12,12,19,
From 152896 To 152926,97.23,448,10,16,6,
From 152926 To 152956,99.13,495,13,14,22,
From 152996 To 153026,104.7,518,18,16,17,
From 153026 To 153056,103.0,507,14,13,16,
From 153096 To 153126,102.27,499,20,10,16,
From 153127 To 153157,92.33,473,16,14,12,
From 153197 To 153227,108.57,493,12,16,11,
From 153227 To 153257,94.93,513,17,9,18,
From 153297 To 153327,103.93,518,14,14,18,
From 153327 To 153357,102.37,479,11,15,15,
From 153398 To 153428,92.87,524,13,13,25,
From 153428 To 153458,103.53,474,10,12,11,
From 153498 To 153528,97.0,496,18,15,15,
From 153528 To 153558,94.83,549,20,16,16,
From 153599 To 153629,102.97,524,14,14,12,
From 153629 To 153659,95.3,476,12,11,13,
From 153699 To 153729,101.63,472,12,18,11,
From 153729 To 153759,102.6,488,8,24,15,
From 153799 To 153829,98.1,420,12,11,12,
From 153870 To 153900,98.63,510,15,12,20,
From 153900 To 153930,78.27,355,15,6,13,
From 153970 To 154000,97.77,434,17,6,13,
