 CPUAvg,buy,main, ItemDaoImpl:233,ItemDaoImpl:246
117.47,4341,715,16667,77784
121.57,4398,763,17583,82049
121.17,4371,735,18069,84327
120,4420,757,17539,81820
115.57,4207,711,17460,81491
118.63,4419,722,16745,78149
121.63,4411,774,17347,80955
114.97,4215,708,16997,79329
115.53,4385,714,16986,79264
119.4,4301,704,18136,84619
117.57,4360,687,16634,77645
119.87,4395,731,17184,80192
117.53,4279,659,17560,81938
112.73,4107,717,16472,76878
119.67,4367,738,17114,79841
122.63,4399,760,17962,83847
108.9,4057,670,15204,70943
116.23,4250,688,17007,79370
115.63,4212,719,16528,77128
119.07,4466,754,18377,85767
120.47,4418,726,17186,80197
117.67,4259,724,17626,82259
113.07,4126,740,15859,73991
125.1,4543,723,18863,88041
114.1,4175,679,16626,77592
118.43,4310,713,15996,74648
117.27,4305,739,17362,81014
113.67,4201,669,15690,73224
123.53,4489,763,18328,85498
109.87,4033,670,15688,73233
112.37,4188,721,17592,82088
125.13,4559,776,17634,82311
117.4,4247,702,18138,84648
122.07,4331,714,18246,85131
115.8,4166,734,17158,80059
114.6,4131,733,17516,81770
121.17,4410,789,16474,76868
121.2,4371,712,18446,86092
123.1,4405,724,18639,86950
122.2,4466,743,18142,84683
119.23,4354,721,17531,81823
119.83,4408,773,16968,79184
116.23,4260,742,18744,87472
116.67,4232,679,17043,79521
121.93,4289,704,16511,77055
116.23,4246,743,17458,81480
122.1,4427,765,17724,82703
117.3,4308,705,16797,78375
121.87,4403,713,18064,84305
117.77,4296,681,17387,81153
112.03,4131,735,15933,74345
118.7,4395,744,16675,77821
120,4349,740,18464,86161
116.8,4449,746,17378,81102
116.33,4249,730,17038,79515
109.73,4062,666,16172,75464
125.77,4506,739,18483,86247
117.87,4299,763,17139,79979
119,4384,708,17124,79913
126.87,4631,781,18826,87869
118.07,4370,702,17112,79856
117.33,4299,718,16342,76254
117.23,4249,707,17693,82571
111.37,4250,669,16418,76618
121.67,4474,749,16652,77691
115.2,4253,660,18551,86594
115.9,4265,741,16670,77779
113.67,4220,674,15736,73439
118.33,4302,730,17730,82736
122.7,4514,748,17715,82637
117.5,4256,723,17602,82185
117.23,4272,731,16222,75697
122.83,4469,681,18731,87411
112.73,4105,692,16418,76628
123.2,4445,751,18371,85722
121.23,4378,744,17881,83454
114.2,4148,696,17544,81863
121.9,4622,758,18339,85551
113.4,4179,701,16528,77156
123.27,4533,742,17513,81718
115.3,4340,695,15912,74280
121.4,4448,728,17672,82451
119.57,4325,784,17710,82661
111,4142,710,15324,71498
121.23,4537,784,17042,79538
118.3,4343,670,17476,81564
116.17,4217,734,16916,78936
114.27,4246,696,16779,78298
115.7,4369,744,17213,80332
124.47,4628,761,17493,81603
119.27,4296,739,18145,84699
118.5,4341,757,16553,77223
117.17,4248,706,17681,82549
115.83,4284,702,16980,79240
123.4,4433,742,18061,84271
116.93,4317,768,16948,79100
117.17,4232,699,17016,79408
121.1,4459,781,17904,83552
116.53,4415,779,17301,80724
123.53,4553,796,17760,82871
117.87,4329,735,17236,80445
114,4187,675,15811,73788
121.6,4459,726,17927,83673
113.37,4160,661,16140,75320
120.57,4377,730,17856,83328
119.3,4212,704,18132,84616
115.17,4266,653,16779,78297
111.43,4104,674,17577,82031
117.9,4231,730,16764,78232
112.03,4242,697,17022,79399
123.37,4444,833,18604,86821
112.07,4144,675,16722,78066
115.87,4246,666,16526,77103
123.63,4483,784,18859,88015
116.97,4326,733,16181,75524
116.13,4357,740,17099,79795
115.4,4226,705,16726,78054
119.6,4452,716,18954,88419
115.2,4154,644,16057,74960
107.9,3959,682,15708,73304
118.83,4368,709,17532,81794
114.27,4229,715,16672,77831
124.97,4563,772,18239,85106
115.93,4225,710,17494,81634
118.33,4341,780,17138,79964
118.83,4381,753,17566,81997
112.93,4306,751,17160,80080
112.27,4095,702,16667,77753
117.03,4321,681,17461,81511
111.87,4179,744,15866,74032
123.37,4491,725,17685,82528
115.2,4337,716,16276,75971
121.47,4321,758,18329,85532
121.83,4540,716,18329,85543
114.1,4159,705,16668,77784
114.07,4241,684,15919,74269
116.47,4504,748,17237,80459
113.67,4240,723,15926,74299
108.8,3945,673,16441,76738
118.13,4431,709,16734,78092
116.67,4141,669,17995,83976
121.67,4539,752,17564,81962
113.1,4182,631,16203,75622
112.93,4109,697,15941,74359
