 CPUAvg,search,main, Customer:198,AddressDaoImpl:53,Address:195,AService:538,CustomerDaoImpl:65,AService:530,AService:515,Customer:234,Customer:223,AService:522,Customer:139,ShoppingCartDapImpl:44,AController:42,Customer:96,Customer:245,AController:89,Customer:113,Address:135,Address:77,DaoImpl:42,Address:96,Address:165,AController:101,AController:109,AController:108,Customer:126,AService:545,Customer:102,BuyController:55,BuyController:198,Customer:185,AService:508,Address:123,Address:149,ShoppingCart:64,Customer:210,Customer:273,Address:109,Customer:256,AController:54,Customer:160,Customer:148,Customer:88,Address:68,Address:83,CountryDaoImpl:56,AController:134,Customer:290,Customer:173,AController:96,Customer:278
133.5,4679,747,13573,9034,45184,9068,4521,4525,4521,13573,13573,4521,18111,18093,25066,40701,13573,29614,13573,22585,40659,72712,22589,22585,29614,25085,25085,18111,9072,9051,4521,13563,13573,4521,22585,22585,108373,13573,13573,22585,13573,124701,13564,13564,9034,13547,13554,13547,75255,13573,13573,29614,13573
125.83,4317,712,12837,8576,42802,8553,4305,4305,4305,12837,12837,4305,17107,17135,23685,38504,12837,27960,12837,21423,38497,68454,21423,21423,27960,23661,23661,17107,8564,8541,4305,12915,12837,4305,21423,21423,102878,12837,12837,21423,12837,117638,12859,12859,8576,12847,12827,12870,70983,12837,12837,27960,12837
125.2,4192,711,13153,8745,43778,8797,4376,4372,4376,13153,13153,4376,17558,17477,23761,39412,13153,28174,13153,21855,39406,68218,21851,21855,28174,23807,23807,17558,8759,8774,4376,13128,13153,4376,21855,21855,104780,13153,13153,21855,13153,118253,13137,13137,8745,13114,13130,13091,71421,13153,13153,28174,13153
127.4,4545,734,12962,8651,43336,8609,4297,4301,4297,12962,12962,4297,17267,17360,23985,39011,12962,28222,12962,21660,39035,69732,21664,21660,28222,23936,23936,17267,8652,8659,4297,12891,12962,4297,21660,21660,104002,12962,12962,21660,12962,118894,12955,12955,8651,13005,13012,13005,71808,12962,12962,28222,12962
128.4,4397,744,13071,8716,43582,8710,4355,4355,4355,13071,13071,4355,17426,17426,24049,39209,13071,28452,13071,21793,39227,69043,21793,21793,28452,24090,24090,17426,8705,8716,4355,13065,13071,4355,21793,21793,104869,13071,13071,21793,13071,119655,13071,13071,8716,13077,13077,13079,72270,13071,13071,28452,13071
132,4561,717,13649,9090,45426,9118,4559,4559,4559,13649,13649,4559,18208,18144,24967,40929,13649,29518,13649,22711,40867,71960,22711,22711,29518,24955,24955,18208,9081,9090,4559,13677,13649,4559,22711,22711,108788,13649,13649,22711,13649,124138,13649,13649,9090,13621,13621,13620,74865,13649,13649,29518,13649
128.73,4381,749,13391,8921,44578,8942,4472,4471,4472,13391,13391,4472,17862,17842,24480,40121,13391,28943,13391,22290,40107,70463,22289,22290,28943,24482,24482,17862,8942,8920,4472,13416,13391,4472,22290,22290,107032,13391,13391,22290,13391,121600,13392,13392,8921,13370,13369,13376,73446,13391,13391,28943,13391
129.63,4396,772,13350,8916,44610,8874,4440,4440,4440,13350,13350,4440,17787,17858,24499,40122,13350,28918,13350,22308,40170,70283,22308,22308,28918,24471,24471,17787,8904,8914,4440,13320,13350,4440,22308,22308,107009,13350,13350,22308,13350,121472,13353,13353,8917,13392,13389,13390,73413,13350,13350,28918,13350
132.83,4619,764,13642,9082,45398,9112,4552,4553,4552,13642,13642,4552,18198,18149,25066,40844,13642,29623,13642,22695,40845,72364,22696,22695,29623,25078,25078,18198,9093,9085,4552,13656,13642,4552,22695,22695,108838,13642,13642,22695,13642,124633,13638,13638,9081,13612,13616,13607,75234,13642,13642,29623,13642
126.37,4487,770,13345,8885,44228,8917,4462,4462,4462,13345,13345,4462,17801,17696,24529,39913,13345,28986,13345,22192,39766,70471,22191,22192,28986,24524,24524,17801,8876,8879,4462,13386,13345,4462,22192,22192,106312,13345,13345,22192,13345,121929,13346,13346,8885,13308,13298,13332,73572,13345,13345,28986,13345
