Period, CPUAvg, person,encounter,obs,concept,
From 15473 To 15503,114.87,354,6,12,14,
From 15503 To 15533,90.23,249,11,7,9,
From 15573 To 15603,96.33,257,12,5,5,
From 15603 To 15633,120.07,324,7,12,6,
From 15673 To 15703,90.17,295,5,6,14,
From 15703 To 15733,115.97,308,11,4,8,
From 15773 To 15803,119.27,287,4,11,4,
From 15803 To 15833,118.03,341,7,9,11,
From 15874 To 15904,121.13,324,7,6,11,
From 15904 To 15934,126.43,309,13,4,7,
From 19974 To 20004,104.03,256,6,13,1,
From 20004 To 20034,136.87,323,9,10,8,
From 20074 To 20104,118.6,307,5,9,8,
From 20104 To 20134,126.1,302,10,10,4,
From 20174 To 20204,123.17,302,6,10,7,
From 20205 To 20235,97.6,267,4,9,8,
From 20275 To 20305,119.57,349,14,9,7,
From 20305 To 20335,92.67,289,9,9,8,
From 20375 To 20405,119.63,295,7,7,8,
From 20405 To 20435,120.53,301,6,8,7,
From 20475 To 20505,107.0,327,7,14,9,
From 20505 To 20535,96.7,294,8,9,8,
From 20575 To 20605,114.33,316,8,10,8,
From 20606 To 20636,97.5,308,10,7,13,
From 20676 To 20706,86.6,278,14,10,6,
From 20706 To 20736,120.13,318,8,11,7,
From 20776 To 20806,104.53,270,6,9,8,
From 20806 To 20836,98.57,328,9,6,14,
From 20876 To 20906,124.23,265,4,10,5,
From 20907 To 20937,113.53,301,12,8,8,
From 20978 To 21008,118.93,341,13,10,9,
From 21008 To 21038,85.7,259,3,10,6,
From 21078 To 21108,115.47,331,8,12,12,
From 21108 To 21138,105.57,312,8,12,9,
From 21178 To 21208,74.57,278,11,11,8,
From 21209 To 21239,105.63,288,7,10,11,
From 21279 To 21309,124.03,322,4,10,12,
From 21309 To 21339,97.2,290,14,9,5,
From 21379 To 21409,123.7,339,11,6,11,
From 21409 To 21439,108.57,278,11,8,5,
From 21479 To 21509,115.37,262,8,7,4,
From 21509 To 21539,152.73,367,7,18,9,
From 21579 To 21609,84.73,276,12,9,9,
From 21610 To 21640,96.37,272,13,8,9,
From 21680 To 21710,108.03,315,7,7,10,
From 21710 To 21740,104.5,318,17,6,7,
From 21780 To 21810,107.9,314,14,8,7,
From 21810 To 21840,115.0,283,9,9,6,
From 21880 To 21910,116.0,322,4,7,11,
From 21910 To 21940,111.97,319,10,8,9,
From 21980 To 22010,96.9,288,6,15,8,
From 22011 To 22041,100.53,304,8,12,7,
From 22081 To 22111,103.27,301,3,12,9,
From 22111 To 22141,111.43,294,11,8,10,
From 22181 To 22211,99.43,271,6,7,9,
From 22211 To 22241,107.77,315,10,13,5,
From 22281 To 22311,106.33,315,7,11,11,
From 22311 To 22341,99.83,271,11,10,11,
From 22381 To 22411,128.0,332,9,8,3,
From 22412 To 22442,108.63,309,10,14,6,
From 22482 To 22512,105.4,294,7,10,8,
From 22512 To 22542,101.83,312,13,10,5,
From 22582 To 22612,100.17,297,12,7,8,
From 22612 To 22642,123.93,338,9,7,7,
From 22682 To 22712,108.57,276,5,7,9,
From 22712 To 22742,128.27,341,11,8,8,
From 22783 To 22813,119.43,345,12,9,7,
From 22813 To 22843,101.47,239,5,10,6,
From 22883 To 22913,123.57,357,7,12,9,
From 22914 To 22944,134.07,319,10,8,4,
From 22985 To 23015,133.63,329,8,9,10,
From 23015 To 23045,125.13,338,11,11,7,
From 23086 To 23116,98.07,280,10,5,8,
From 23116 To 23146,116.43,304,7,9,8,
From 23187 To 23217,102.03,266,8,9,6,
From 23217 To 23247,88.7,306,7,13,12,
From 23288 To 23318,128.87,315,12,5,4,
From 23318 To 23348,125.57,317,12,8,6,
From 23388 To 23418,114.23,296,4,10,7,
From 23419 To 23449,118.57,344,14,10,4,
From 23489 To 23519,98.3,314,14,6,11,
From 23519 To 23549,95.6,284,5,8,13,
From 23590 To 23620,100.2,281,7,10,7,
From 23620 To 23650,112.4,356,10,14,9,
From 23690 To 23720,116.63,272,9,3,9,
From 23720 To 23750,108.63,334,14,8,10,
From 23790 To 23820,85.73,289,16,7,11,
From 23821 To 23851,122.93,313,9,6,10,
From 23891 To 23921,99.73,254,10,14,4,
From 23921 To 23951,90.87,304,9,3,14,
From 23991 To 24021,108.93,294,6,12,10,
From 24021 To 24051,108.3,316,6,11,7,
From 24091 To 24121,105.03,334,10,8,8,
From 24121 To 24151,105.0,291,8,7,17,
From 24191 To 24221,110.63,270,6,6,6,
From 24222 To 24252,108.2,303,11,8,7,
From 24292 To 24322,117.57,310,9,11,8,
From 24322 To 24352,115.4,303,9,8,7,
From 24392 To 24422,119.13,265,7,8,9,
From 24422 To 24452,126.53,324,9,7,13,
From 24492 To 24522,119.73,344,10,10,11,
From 24522 To 24552,115.0,281,3,5,7,
From 24593 To 24623,114.57,320,5,9,11,
From 24623 To 24653,111.9,317,10,7,13,
From 24693 To 24723,83.73,289,6,7,13,
From 24723 To 24753,136.33,337,4,6,9,
From 24793 To 24823,116.27,321,10,12,13,
From 24823 To 24853,103.07,293,7,7,13,
From 24893 To 24923,114.63,323,9,7,9,
From 24923 To 24953,113.13,298,12,6,5,
From 24993 To 25023,101.5,267,4,4,10,
From 25024 To 25054,122.2,332,8,10,14,
From 25094 To 25124,101.5,321,13,9,4,
From 25124 To 25154,107.8,249,5,10,6,
From 25194 To 25224,108.4,300,14,6,7,
From 25224 To 25254,109.13,320,9,14,8,
From 25294 To 25324,102.77,303,7,8,11,
