Period, CPUAvg, ConceptServiceImpl:929,ConceptServiceImpl:300,
From 1525711904 To 1525711934,78.93,669,49,
From 1525711934 To 1525711964,90.77,612,67,
From 1525711965 To 1525711995,89.57,722,66,
From 1525711995 To 1525712025,84.03,670,58,
From 1525712025 To 1525712055,91.43,772,63,
From 1525712055 To 1525712085,91.13,778,66,
From 1525712085 To 1525712115,85.53,622,65,
From 1525712115 To 1525712145,88.07,594,62,
From 1525712145 To 1525712175,76.97,600,53,
From 1525712176 To 1525712206,80.57,720,54,
From 1525712206 To 1525712236,81.8,600,61,
From 1525712236 To 1525712266,83.0,631,51,
From 1525712266 To 1525712296,79.7,626,62,
From 1525712296 To 1525712326,81.1,591,68,
From 1525712326 To 1525712356,76.07,586,62,
From 1525712356 To 1525712386,85.03,562,54,
From 1525712386 To 1525712416,86.8,716,63,
From 1525712417 To 1525712447,74.8,576,61,
From 1525712447 To 1525712477,86.67,648,57,
From 1525712477 To 1525712507,77.0,526,50,
From 1525712507 To 1525712537,87.93,678,59,
From 1525712537 To 1525712567,92.93,638,60,
From 1525712567 To 1525712597,84.93,538,50,
From 1525712597 To 1525712627,94.87,552,61,
From 1525712628 To 1525712658,93.27,758,73,
From 1525712658 To 1525712688,89.87,762,47,
From 1525712688 To 1525712718,87.1,708,61,
From 1525712718 To 1525712748,86.87,780,64,
From 1525712748 To 1525712778,86.97,702,56,
From 1525712778 To 1525712808,85.57,676,53,
From 1525712808 To 1525712838,86.4,700,48,
From 1525712839 To 1525712869,88.43,668,56,
From 1525712869 To 1525712899,85.67,628,57,
From 1525712899 To 1525712929,87.07,599,62,
From 1525712929 To 1525712959,87.43,797,55,
From 1525712959 To 1525712989,84.47,718,59,
From 1525712989 To 1525713019,83.47,695,62,
From 1525713019 To 1525713049,83.93,519,59,
From 1525713049 To 1525713079,90.3,800,55,
From 1525713080 To 1525713110,91.23,660,70,
From 1525713110 To 1525713140,87.93,640,54,
From 1525713140 To 1525713170,91.7,691,54,
From 1525713170 To 1525713200,90.63,677,56,
From 1525713200 To 1525713230,83.8,727,49,
From 1525713230 To 1525713260,86.13,703,61,
From 1525713260 To 1525713290,80.03,816,48,
From 1525713291 To 1525713321,91.1,814,59,
From 1525713321 To 1525713351,82.47,598,62,
From 1525713351 To 1525713381,90.27,689,59,
From 1525713381 To 1525713411,89.37,682,59,
From 1525713411 To 1525713441,90.7,731,55,
From 1525713441 To 1525713471,84.5,572,66,
From 1525713471 To 1525713501,78.07,776,49,
From 1525713502 To 1525713532,90.53,726,69,
From 1525713532 To 1525713562,87.9,709,43,
From 1525713562 To 1525713592,77.63,446,53,
From 1525713592 To 1525713622,90.13,741,53,
From 1525713622 To 1525713652,79.4,680,52,
From 1525713652 To 1525713682,86.97,536,52,
From 1525713682 To 1525713712,84.6,570,52,
From 1525713712 To 1525713742,83.83,729,50,
From 1525713743 To 1525713773,84.97,759,63,
From 1525713773 To 1525713803,76.33,688,55,
From 1525713803 To 1525713833,81.47,704,59,
From 1525713833 To 1525713863,94.27,686,72,
From 1525713863 To 1525713893,87.4,677,72,
From 1525713893 To 1525713923,93.07,677,52,
From 1525713923 To 1525713953,85.7,828,58,
From 1525713954 To 1525713984,89.53,698,65,
From 1525713984 To 1525714014,90.63,630,49,
From 1525714014 To 1525714044,88.8,774,47,
From 1525714044 To 1525714074,88.5,561,60,
From 1525714074 To 1525714104,90.37,613,63,
From 1525714104 To 1525714134,84.47,619,54,
From 1525714134 To 1525714164,86.67,623,56,
From 1525714165 To 1525714195,82.17,572,56,
From 1525714195 To 1525714225,83.37,606,53,
From 1525714225 To 1525714255,86.97,643,60,
From 1525714255 To 1525714285,88.93,694,65,
From 1525714285 To 1525714315,85.47,717,57,
From 1525714315 To 1525714345,80.33,626,47,
From 1525714345 To 1525714375,80.93,614,60,
From 1525714376 To 1525714406,79.67,613,69,
From 1525714406 To 1525714436,91.07,575,54,
From 1525714436 To 1525714466,86.33,719,55,
From 1525714466 To 1525714496,86.37,568,53,
From 1525714496 To 1525714526,86.77,679,64,
From 1525714526 To 1525714556,86.47,716,61,
From 1525714556 To 1525714586,82.87,624,49,
From 1525714586 To 1525714616,90.53,610,51,
From 1525714617 To 1525714647,83.77,600,70,
From 1525714647 To 1525714677,86.53,646,45,
From 1525714677 To 1525714707,83.33,828,52,
From 1525714707 To 1525714737,91.4,622,53,
From 1525714737 To 1525714767,84.8,608,74,
From 1525714767 To 1525714797,90.3,656,49,
From 1525714797 To 1525714827,91.33,556,66,
From 1525714828 To 1525714858,88.97,630,58,
From 1525714858 To 1525714888,85.87,644,53,
From 1525714888 To 1525714918,80.97,555,49,
From 1525714918 To 1525714948,82.7,759,52,
From 1525714948 To 1525714978,92.4,664,56,
From 1525714978 To 1525715008,87.17,654,43,
From 1525715009 To 1525715039,85.97,736,54,
From 1525715039 To 1525715069,83.97,667,55,
From 1525715069 To 1525715099,85.73,613,51,
From 1525715099 To 1525715129,84.9,558,64,
From 1525715129 To 1525715159,87.37,608,65,
From 1525715159 To 1525715189,84.97,676,44,
From 1525715189 To 1525715219,83.8,660,54,
From 1525715219 To 1525715249,91.53,754,49,
From 1525715250 To 1525715280,91.27,630,59,
From 1525715280 To 1525715310,86.07,704,46,
From 1525715310 To 1525715340,86.53,638,56,
From 1525715340 To 1525715370,83.9,588,58,
From 1525715370 To 1525715400,84.7,634,54,
From 1525715400 To 1525715430,71.57,714,41,
From 1525715430 To 1525715460,83.37,554,57,
From 1525715461 To 1525715491,89.47,704,56,
From 1525715491 To 1525715521,88.8,792,59,
From 1525715521 To 1525715551,85.2,528,47,
From 1525715551 To 1525715581,82.5,618,60,
From 1525715581 To 1525715611,86.43,608,45,
From 1525715611 To 1525715641,86.9,628,61,
From 1525715641 To 1525715671,85.3,656,62,
From 1525715671 To 1525715701,88.07,551,65,
From 1525715702 To 1525715732,89.63,587,65,
From 1525715732 To 1525715762,85.4,606,57,
From 1525715762 To 1525715792,80.07,622,41,
From 1525715792 To 1525715822,91.5,618,57,
From 1525715822 To 1525715852,93.63,652,57,
From 1525715852 To 1525715882,87.87,486,56,
From 1525715882 To 1525715912,85.77,760,56,
From 1525715912 To 1525715942,83.87,632,64,
From 1525715943 To 1525715973,84.6,610,65,
From 1525715973 To 1525716003,82.97,752,57,
From 1525716003 To 1525716033,82.47,560,56,
From 1525716033 To 1525716063,86.63,894,38,
From 1525716063 To 1525716093,83.33,653,59,
From 1525716093 To 1525716123,89.9,581,68,
From 1525716123 To 1525716153,88.47,627,66,
From 1525716154 To 1525716184,88.37,769,63,
From 1525716184 To 1525716214,82.23,682,74,
From 1525716214 To 1525716244,83.97,704,49,
From 1525716244 To 1525716274,84.27,692,45,
From 1525716274 To 1525716304,90.4,592,52,
From 1525716304 To 1525716334,83.07,706,46,
From 1525716334 To 1525716364,84.93,697,51,
From 1525716364 To 1525716394,87.53,707,49,
From 1525716395 To 1525716425,82.53,608,51,
From 1525716425 To 1525716455,82.77,578,65,
From 1525716455 To 1525716485,79.07,709,44,
From 1525716485 To 1525716515,82.77,673,62,
From 1525716515 To 1525716545,85.1,616,39,
From 1525716545 To 1525716575,82.57,590,48,
From 1525716575 To 1525716605,91.57,684,59,
From 1525716605 To 1525716635,88.27,634,62,
From 1525716636 To 1525716666,78.07,544,49,
From 1525716666 To 1525716696,86.47,637,54,
From 1525716696 To 1525716726,89.43,575,57,
From 1525716726 To 1525716756,90.33,653,49,
From 1525716756 To 1525716786,88.9,733,46,
From 1525716786 To 1525716816,85.2,578,57,
From 1525716816 To 1525716846,86.77,562,44,
From 1525716847 To 1525716877,83.57,760,47,
From 1525716877 To 1525716907,82.03,564,51,
From 1525716907 To 1525716937,88.73,518,44,
From 1525716937 To 1525716967,84.43,508,53,
From 1525716967 To 1525716997,83.77,580,56,
From 1525716997 To 1525717027,84.87,541,57,
From 1525717027 To 1525717057,90.1,659,66,
From 1525717057 To 1525717087,90.33,551,50,
From 1525717088 To 1525717118,73.5,579,58,
From 1525717118 To 1525717148,84.93,766,55,
From 1525717148 To 1525717178,78.63,592,42,
From 1525717178 To 1525717208,87.67,636,55,
From 1525717208 To 1525717238,86.6,570,61,
From 1525717238 To 1525717268,81.37,610,64,
From 1525717268 To 1525717298,83.6,606,50,
From 1525717299 To 1525717329,86.87,790,49,
From 1525717329 To 1525717359,95.6,820,54,
From 1525717359 To 1525717389,88.37,609,52,
From 1525717389 To 1525717419,78.13,515,56,
From 1525717419 To 1525717449,84.2,564,66,
From 1525717449 To 1525717479,84.47,563,54,
From 1525717479 To 1525717509,91.8,652,63,
From 1525717509 To 1525717539,80.73,605,54,
From 1525717540 To 1525717570,86.23,710,57,
From 1525717570 To 1525717600,82.6,627,41,
From 1525717600 To 1525717630,86.33,651,59,
From 1525717630 To 1525717660,89.37,692,46,
From 1525717660 To 1525717690,83.5,592,59,
From 1525717690 To 1525717720,79.03,494,42,
From 1525717720 To 1525717750,80.27,572,57,
From 1525717751 To 1525717781,87.63,690,61,
From 1525717781 To 1525717811,90.93,578,61,
From 1525717811 To 1525717841,70.63,497,41,
From 1525717841 To 1525717871,88.5,561,67,
From 1525717871 To 1525717901,87.97,582,46,
From 1525717901 To 1525717931,88.0,578,57,
From 1525717931 To 1525717961,87.33,684,59,
From 1525717962 To 1525717992,86.0,607,64,
From 1525717992 To 1525718022,88.07,654,47,
From 1525718022 To 1525718052,85.37,630,62,
From 1525718052 To 1525718082,90.57,545,68,
From 1525718082 To 1525718112,81.8,506,54,
From 1525718112 To 1525718142,87.03,578,50,
From 1525718142 To 1525718172,84.33,562,50,
From 1525718172 To 1525718202,92.67,614,76,
From 1525718203 To 1525718233,91.3,532,60,
From 1525718233 To 1525718263,76.17,486,31,
From 1525718263 To 1525718293,80.5,610,58,
From 1525718293 To 1525718323,82.1,846,48,
From 1525718323 To 1525718353,90.03,638,49,
From 1525718353 To 1525718383,86.8,633,48,
From 1525718383 To 1525718413,80.73,657,40,
