Period, CPUAvg, person,obs,encounter, ConceptServiceImpl:929,ConceptServiceImpl:300
From 123310 To 123340,86.27,2098,70,50,771,67
From 123380 To 123410,96.53,2228,73,52,770,53
From 123410 To 123440,86.13,2058,54,50,646,58
From 123480 To 123510,88.17,2087,60,49,739,63
From 123510 To 123540,96.73,1924,63,44,745,68
From 123580 To 123610,88.73,2114,65,52,746,53
From 123610 To 123640,88.53,2105,58,52,653,71
From 123680 To 123710,89.7,2219,56,66,759,63
From 123710 To 123740,83.3,2039,53,54,622,62
From 123781 To 123811,88.17,2220,70,61,796,70
From 123811 To 123841,92.63,2268,62,59,737,64
From 123881 To 123911,90.4,2207,72,66,809,53
From 123911 To 123941,92.47,2155,59,65,670,49
From 123981 To 124011,75.77,1797,50,46,547,58
From 124011 To 124041,95.13,2257,74,49,849,52
From 124081 To 124111,76.67,1869,59,62,694,59
From 124112 To 124142,77.2,1919,43,63,520,76
From 124182 To 124212,94.53,2201,74,50,845,57
From 124212 To 124242,87.43,2066,65,59,727,52
From 124282 To 124312,85.4,2060,66,58,814,55
From 124312 To 124342,81.57,1921,53,59,604,58
From 124382 To 124412,84.23,1971,60,52,720,54
From 124412 To 124442,78.8,1900,47,60,518,54
From 124483 To 124513,80.7,2007,62,59,752,57
From 124513 To 124543,87.53,2083,64,60,772,58
From 124583 To 124613,91.4,2149,60,66,617,53
From 124613 To 124643,82.1,1943,57,56,641,46
From 124683 To 124713,90.53,2094,51,52,555,64
From 124713 To 124743,80.8,1993,52,53,613,79
From 124783 To 124813,82.87,1928,50,55,566,49
From 124813 To 124843,83.9,1985,48,67,538,59
From 124884 To 124914,79.03,2137,58,60,622,58
From 124914 To 124944,57.87,1521,49,45,577,42
From 124984 To 125014,41.33,1046,25,34,320,37
From 125014 To 125044,92.57,2214,63,62,681,55
From 125084 To 125114,83.37,1994,49,65,530,53
From 125114 To 125144,84.33,2037,63,48,653,67
From 125184 To 125214,78.93,1848,58,39,669,49
From 125214 To 125244,90.77,2148,55,57,612,67
From 125285 To 125315,89.57,2196,62,66,722,66
From 125315 To 125345,84.03,2037,58,57,670,58
From 125385 To 125415,91.43,2162,68,57,772,63
From 125415 To 125445,91.13,2166,66,49,778,66
From 125485 To 125515,85.53,2010,55,50,622,65
From 125515 To 125545,88.07,2053,51,61,594,62
From 125585 To 125615,76.97,1775,50,42,600,53
From 125616 To 125646,80.57,2002,60,61,720,54
From 125686 To 125716,81.8,1921,54,55,600,61
From 125716 To 125746,83,1931,56,55,631,51
From 125786 To 125816,79.7,1907,60,58,626,62
From 125816 To 125846,81.1,1959,51,58,591,68
From 125886 To 125916,76.07,1811,51,42,586,62
From 125916 To 125946,85.03,2012,52,58,562,54
From 129986 To 130016,86.8,2035,61,53,716,63
From 130017 To 130047,74.8,1827,50,54,576,61
From 130087 To 130117,86.67,2070,56,64,648,57
From 130117 To 130147,77,1797,41,61,526,50
From 130187 To 130217,87.93,2084,63,65,678,59
From 130217 To 130247,92.93,2238,58,79,638,60
From 130287 To 130317,84.93,2006,45,64,538,50
From 130317 To 130347,94.87,2218,48,67,552,61
From 130388 To 130418,93.27,2237,66,48,758,73
From 130418 To 130448,89.87,2142,68,69,762,47
From 130488 To 130518,87.1,2066,56,53,708,61
From 130518 To 130548,86.87,2076,66,55,780,64
From 130588 To 130618,86.97,2023,66,58,702,56
From 130618 To 130648,85.57,2031,59,71,676,53
From 130688 To 130718,86.4,2045,60,60,700,48
From 130719 To 130749,88.43,2144,57,61,668,56
From 130789 To 130819,85.67,1973,53,59,628,57
From 130819 To 130849,87.07,2041,49,66,599,62
From 130889 To 130919,87.43,2083,73,65,797,55
From 130919 To 130949,84.47,2021,58,60,718,59
From 130989 To 131019,83.47,1955,58,62,695,62
From 131019 To 131049,83.93,1925,49,55,519,59
From 131089 To 131119,90.3,2091,68,48,800,55
From 131120 To 131150,91.23,2210,60,54,660,70
From 131190 To 131220,87.93,1991,59,49,640,54
From 131220 To 131250,91.7,2136,62,61,691,54
From 131290 To 131320,90.63,2059,58,46,677,56
From 131320 To 131350,83.8,1946,62,53,727,49
From 131390 To 131420,86.13,2022,60,56,703,61
From 131420 To 131450,80.03,1900,73,55,816,48
From 131491 To 131521,91.1,2115,71,51,814,59
From 131521 To 131551,82.47,1949,55,65,598,62
From 131591 To 131621,90.27,2090,61,51,689,59
From 131621 To 131651,89.37,2055,58,63,682,59
From 131691 To 131721,90.7,2103,62,63,731,55
From 131721 To 131751,84.5,1998,54,60,572,66
From 131791 To 131821,78.07,1935,61,62,776,49
From 131822 To 131852,90.53,2095,65,59,726,69
From 131892 To 131922,87.9,2039,56,62,709,43
From 131922 To 131952,77.63,1785,38,51,446,53
From 131992 To 132022,90.13,2067,62,55,741,53
From 132022 To 132052,79.4,1862,58,50,680,52
From 132092 To 132122,86.97,1980,46,55,536,52
From 132122 To 132152,84.6,1924,51,48,570,52
From 132192 To 132222,83.83,1987,62,60,729,50
From 132223 To 132253,84.97,2051,61,52,759,63
From 132293 To 132323,76.33,1736,60,41,688,55
From 132323 To 132353,81.47,1871,64,40,704,59
From 132393 To 132423,94.27,2158,60,60,686,72
From 132423 To 132453,87.4,2031,53,61,677,72
From 132493 To 132523,93.07,2120,56,55,677,52
From 132523 To 132553,85.7,1980,71,57,828,58
From 132594 To 132624,89.53,2075,62,48,698,65
From 132624 To 132654,90.63,2064,56,67,630,49
From 132694 To 132724,88.8,2027,62,51,774,47
From 132724 To 132754,88.5,2010,49,64,561,60
From 132794 To 132824,90.37,2033,53,61,613,63
From 132824 To 132854,84.47,1926,51,51,619,54
From 132894 To 132924,86.67,2024,53,63,623,56
From 132925 To 132955,82.17,1896,51,56,572,56
From 132995 To 133025,83.37,1882,53,59,606,53
From 133025 To 133055,86.97,2011,55,63,643,60
From 133095 To 133125,88.93,2013,63,53,694,65
From 133125 To 133155,85.47,1944,59,49,717,57
From 133195 To 133225,80.33,1808,55,52,626,47
From 133225 To 133255,80.93,1912,53,51,614,60
From 133296 To 133326,79.67,1966,52,64,613,69
From 133326 To 133356,91.07,2077,49,59,575,54
From 133396 To 133426,86.33,1954,60,57,719,55
From 133426 To 133456,86.37,1931,51,55,568,53
From 133496 To 133526,86.77,1978,56,51,679,64
From 133526 To 133556,86.47,1971,64,52,716,61
From 133596 To 133626,82.87,1867,53,58,624,49
From 133626 To 133656,90.53,2066,53,73,610,51
From 133697 To 133727,83.77,1960,51,52,600,70
From 133727 To 133757,86.53,1935,55,54,646,45
From 133797 To 133827,83.33,1932,63,65,828,52
From 133827 To 133857,91.4,2017,48,60,622,53
From 133897 To 133927,84.8,1972,51,67,608,74
From 133927 To 133957,90.3,2001,57,57,656,49
From 133997 To 134027,91.33,2092,49,54,556,66
From 134028 To 134058,88.97,2064,54,65,630,58
From 134098 To 134128,85.87,1931,57,52,644,53
From 134128 To 134158,80.97,1851,44,63,555,49
From 134198 To 134228,82.7,1928,66,49,759,52
From 134228 To 134258,92.4,2108,57,63,664,56
From 134298 To 134328,87.17,1902,59,42,654,43
From 134329 To 134359,85.97,2044,58,67,736,54
From 134399 To 134429,83.97,1897,62,49,667,55
From 134429 To 134459,85.73,1999,55,66,613,51
From 134499 To 134529,84.9,1936,46,56,558,64
From 134529 To 134559,87.37,1958,56,56,608,65
From 134599 To 134629,84.97,1881,55,52,676,44
From 134629 To 134659,83.8,1897,58,54,660,54
From 134699 To 134729,91.53,2055,65,52,754,49
From 134770 To 134800,91.27,2067,54,54,630,59
From 134800 To 134830,86.07,1922,61,68,704,46
From 134870 To 134900,86.53,1956,53,70,638,56
From 134900 To 134930,83.9,1899,49,54,588,58
From 134970 To 135000,84.7,1939,57,57,634,54
From 135000 To 135030,71.57,1581,56,49,714,41
From 135070 To 135100,83.37,1929,51,57,554,57
From 135101 To 135131,89.47,2011,60,52,704,56
From 135171 To 135201,88.8,2025,70,55,792,59
From 135201 To 135231,85.2,1867,46,58,528,47
From 135271 To 135301,82.5,1847,51,52,618,60
From 135301 To 135331,86.43,1907,58,49,608,45
From 135371 To 135401,86.9,1961,55,52,628,61
From 135401 To 135431,85.3,1961,56,53,656,62
From 135471 To 135501,88.07,1923,49,63,551,65
From 135502 To 135532,89.63,2082,54,44,587,65
From 135572 To 135602,85.4,1894,52,56,606,57
From 135602 To 135632,80.07,1781,53,46,622,41
From 135672 To 135702,91.5,1994,54,51,618,57
From 135702 To 135732,93.63,2055,56,54,652,57
From 135772 To 135802,87.87,1930,49,49,486,56
From 135802 To 135832,85.77,1932,61,45,760,56
From 135872 To 135902,83.87,1948,59,60,632,64
From 135903 To 135933,84.6,1868,53,52,610,65
From 139973 To 140003,82.97,1873,64,46,752,57
From 140003 To 140033,82.47,1806,51,44,560,56
From 140073 To 140103,86.63,1976,74,63,894,38
From 140103 To 140133,83.33,1825,55,51,653,59
From 140173 To 140203,89.9,2014,48,52,581,68
From 140203 To 140233,88.47,1937,51,62,627,66
From 140274 To 140304,88.37,2063,67,63,769,63
From 140304 To 140334,82.23,1869,56,49,682,74
From 140374 To 140404,83.97,1811,60,60,704,49
From 140404 To 140434,84.27,1864,60,56,692,45
From 140474 To 140504,90.4,1967,52,68,592,52
From 140504 To 140534,83.07,1865,61,42,706,46
From 140574 To 140604,84.93,1887,61,54,697,51
From 140604 To 140634,87.53,1925,60,58,707,49
From 140675 To 140705,82.53,1880,56,50,608,51
From 140705 To 140735,82.77,1807,46,54,578,65
From 140775 To 140805,79.07,1786,58,45,709,44
From 140805 To 140835,82.77,1835,60,54,673,62
From 140875 To 140905,85.1,1894,56,66,616,39
From 140905 To 140935,82.57,1811,56,51,590,48
From 140975 To 141005,91.57,2081,60,54,684,59
From 141005 To 141035,88.27,1949,58,64,634,62
From 141076 To 141106,78.07,1794,50,49,544,49
From 141106 To 141136,86.47,1908,53,56,637,54
From 141176 To 141206,89.43,1980,53,57,575,57
From 141206 To 141236,90.33,2020,54,59,653,49
From 141276 To 141306,88.9,1927,67,51,733,46
From 141306 To 141336,85.2,1835,47,46,578,57
From 141376 To 141406,86.77,1921,51,62,562,44
