 CPUAvg,search,buy, AController:74,AController:98,DaoImpl:69,HomeController:69,AController:91,HomeController:107,ItemDaoImpl:86,AController:110,AController:111,HomeController:53,Item:118,AController:136,AController:104,Item:253,AController:43,AService:489,HomeController:91,AController:55
123.47,4123,4220,2081,27513,66145,681,27513,681,1400,23239,23239,7491,82643,69717,27513,82643,23191,1400,681,115600
127.9,4261,4356,2142,28121,68422,715,28121,715,1426,23788,23788,7865,86624,71364,28121,86624,23747,1426,715,118251
122.13,4242,4314,2146,28035,68156,710,28035,710,1437,23706,23706,7810,85272,71118,28035,85272,23808,1437,710,117849
125.17,4313,4209,2161,27406,67309,738,27406,737,1424,23217,23217,8107,87883,69651,27406,87883,23159,1424,737,115291
127.97,4407,4307,2132,28184,68833,696,28184,697,1435,23848,23848,7667,88686,71544,28184,88686,23904,1435,697,118599
121.07,4024,4094,2017,26497,64252,684,26497,684,1333,22408,22408,7524,80954,67224,26497,80954,22384,1333,684,111392
134.73,4711,4494,2258,29408,72630,772,29408,772,1486,24913,24913,8492,95863,74739,29408,95863,24931,1486,772,123847
126.97,4276,4273,2234,27804,67976,772,27804,772,1461,23550,23550,8492,87237,70650,27804,87237,23554,1461,772,116965
123.7,4054,4197,2036,27136,65896,688,27136,686,1351,22930,22930,7546,82464,68790,27136,82464,22860,1351,686,113975
127.5,4451,4345,2295,28199,68992,754,28199,756,1539,23905,23905,8316,89594,71715,28199,89594,23972,1539,756,118653
125.4,4125,4305,1994,27735,67213,654,27735,654,1340,23413,23413,7194,83329,70239,27735,83329,23404,1340,654,116557
121.47,4119,4032,2027,26469,64557,649,26469,649,1378,22421,22421,7139,82810,67263,26469,82810,22430,1378,649,111388
108.03,3643,3726,1912,24060,58258,649,24060,648,1263,20355,20355,7128,73181,61065,24060,73181,20306,1263,648,101060
121.13,4134,4273,2207,27662,67035,750,27662,751,1456,23381,23381,8261,83911,70143,27662,83911,23413,1456,751,116155
130.53,4388,4412,2255,28684,69751,765,28684,764,1492,24270,24270,8404,89105,72810,28684,89105,24289,1492,764,120665
134.73,4509,4541,2378,29579,72085,795,29579,796,1582,25047,25047,8756,91898,75141,29579,91898,25051,1582,796,124399
131,4382,4447,2144,28823,69673,721,28823,719,1424,24359,24359,7909,88134,73077,28823,88134,24287,1424,719,121158
125.73,4188,4336,2176,27916,67539,745,27916,747,1430,23600,23600,8217,83148,70800,27916,83148,23654,1430,747,117307
122.97,4188,4157,2082,27407,66724,689,27407,689,1393,23167,23167,7579,85402,69501,27407,85402,23148,1393,689,115235
124.23,4220,4130,2057,26939,66067,683,26939,683,1374,22842,22842,7513,85538,68526,26939,85534,22811,1374,683,113455
120.97,4178,4168,2134,27009,65780,712,27009,712,1420,22870,22870,7832,83781,68610,27009,83785,22850,1420,712,113585
121.07,4190,4062,1973,26431,64859,665,26431,665,1309,22351,22351,7315,84161,67053,26431,84161,22439,1309,665,111170
125.57,4197,4198,2059,27251,66442,687,27251,686,1374,23059,23059,7546,84337,69177,27251,84337,23032,1374,686,114569
126.2,4450,4429,2312,28901,70010,767,28901,768,1544,24504,24504,8448,88573,73512,28901,88573,24455,1544,768,121658
124.27,4035,4362,2211,27990,66773,743,27990,743,1468,23623,23623,8173,80284,70869,27990,80284,23692,1468,743,117399
129,4337,4328,2164,28284,68797,715,28284,715,1449,23907,23907,7865,88044,71721,28284,88044,23893,1449,715,118929
129.07,4251,4408,2240,28419,68724,738,28419,738,1502,24042,24042,8118,86186,72126,28419,86186,24015,1502,738,119400
125.67,4217,4282,2122,27623,67162,704,27623,703,1417,23358,23358,7733,84736,70074,27623,84736,23331,1417,703,116032
132.27,4577,4336,2233,28658,71008,753,28658,754,1481,24284,24284,8294,93954,72852,28658,93954,24281,1481,754,120584
127.07,4239,4370,2235,28164,68250,753,28164,753,1482,23819,23819,8283,85507,71457,28164,85507,23867,1482,753,118388
127.27,4206,4305,2179,28031,68100,716,28031,716,1463,23711,23711,7876,86052,71133,28031,86052,23706,1463,716,117840
