Period,CPUAvg,Person:608,Person:319,PersonAttribute:111,Format:45,Person:601,Encounter:381,Person:317,Format:49,Person:314,Person:599,Person:593,Person:606,Patient:52,Person:597
From 1533224168 to 1533224197,64.43,110,176,304,0,788,19,176,0,212,898,898,110,67,898
From 1533224198 to 1533224227,62.8,120,140,409,0,765,16,140,0,171,885,885,120,73,885
From 1533224228 to 1533224257,57.3,126,126,371,0,761,23,126,0,164,887,888,126,82,887
From 1533224258 to 1533224288,55.37,114,160,366,0,708,14,160,0,188,822,823,114,49,822
From 1533224289 to 1533224318,73.37,80,168,407,0,1057,16,168,0,205,1137,1137,80,76,1137
From 1533224319 to 1533224348,59.93,106,138,380,0,730,29,138,0,168,836,837,106,69,836
From 1533224349 to 1533224378,59.03,110,169,282,0,845,9,169,0,201,955,955,110,57,955
From 1533224379 to 1533224408,64.03,124,160,369,0,740,22,160,0,190,864,865,124,70,864
From 1533224409 to 1533224438,62.1,88,167,277,0,849,17,167,0,200,937,937,88,77,937
From 1533224439 to 1533224468,53.43,116,125,319,0,736,27,125,0,159,852,853,116,59,852
From 1533224469 to 1533224499,57.43,162,167,328,0,766,19,167,0,203,928,928,162,58,928
From 1533224500 to 1533224529,54.93,130,134,337,0,724,25,134,0,166,854,854,130,57,854
From 1533224530 to 1533224559,70.63,118,200,375,0,940,29,200,0,235,1058,1058,118,77,1058
From 1533224560 to 1533224589,59.57,122,156,378,0,711,23,156,0,187,833,833,122,62,833
From 1533224590 to 1533224619,54.7,74,130,228,0,708,21,130,0,161,782,782,74,88,782
From 1533224620 to 1533224649,58.37,206,167,369,0,811,38,167,0,205,1017,1017,206,75,1017
From 1533224650 to 1533224680,66.33,110,153,304,0,681,33,153,0,180,791,808,110,90,791
From 1533224681 to 1533224710,66.87,84,171,382,0,827,21,171,0,202,911,912,84,85,911
From 1533224711 to 1533224740,58.27,80,151,257,0,793,17,151,0,185,873,874,80,82,873
From 1533224741 to 1533224770,60.3,72,155,321,0,789,10,155,0,187,861,862,72,52,861
From 1533224771 to 1533224800,54.2,114,146,279,0,684,9,146,0,179,798,799,114,39,798
From 1533224801 to 1533224830,62.1,126,184,449,0,804,22,184,0,218,930,930,126,49,930
From 1533224831 to 1533224860,61.63,120,157,280,0,841,26,157,0,194,961,961,120,82,961
From 1533224861 to 1533224891,67.07,132,174,404,0,862,17,174,0,204,994,995,132,57,994
From 1533224892 to 1533224921,61.1,128,173,298,0,745,20,173,0,204,873,874,128,62,873
From 1533224922 to 1533224951,54.8,170,164,331,0,775,30,164,0,200,945,946,170,50,945
From 1533224952 to 1533224981,59.97,168,164,327,0,738,15,164,0,196,906,907,168,71,906
From 1533224982 to 1533225011,52.2,102,149,267,0,694,16,149,0,185,796,797,102,55,796
From 1533225012 to 1533225041,56.77,136,141,360,0,685,24,141,0,171,821,821,136,77,821
From 1533225042 to 1533225071,51.0,126,123,329,0,714,15,123,0,158,840,840,126,53,840
From 1533225072 to 1533225102,60.57,120,182,455,0,800,44,182,0,219,920,920,120,50,920
From 1533225103 to 1533225132,51.17,146,118,370,0,807,27,118,0,149,953,954,146,57,953
From 1533225133 to 1533225162,67.4,104,189,320,0,807,18,189,0,218,911,911,104,70,911
From 1533225163 to 1533225192,69.17,76,171,480,0,947,11,171,0,206,1023,1023,76,58,1023
From 1533225193 to 1533225222,57.0,108,126,307,0,714,22,126,0,158,822,823,108,72,822
