Period, CPUAvg, person,concept,obs,encounter,
From 125693 To 125723,78.17,953,29,28,21,
From 125723 To 125753,79.63,1045,29,39,32,
From 125793 To 125823,87.57,1116,28,36,31,
From 125824 To 125854,84.57,1086,29,31,26,
From 125894 To 125924,85.63,1120,26,29,35,
From 125924 To 125954,87.3,1039,26,28,22,
From 129994 To 130024,90.57,1081,24,34,30,
From 130024 To 130054,87.83,1126,36,30,29,
From 130094 To 130124,86.0,1089,36,32,27,
From 130124 To 130154,77.87,966,36,21,24,
From 130195 To 130225,88.67,1137,35,30,33,
From 130225 To 130255,81.57,1065,30,34,34,
From 130295 To 130325,83.8,1088,28,29,36,
From 130325 To 130355,77.63,1001,26,32,30,
From 130395 To 130425,95.3,1137,35,28,31,
From 130425 To 130455,79.27,991,28,38,24,
From 130495 To 130525,86.33,1077,23,33,32,
From 130525 To 130555,80.43,1057,21,45,38,
From 130596 To 130626,80.4,1064,29,36,29,
From 130626 To 130656,82.23,1025,41,30,19,
From 130696 To 130726,79.4,1033,38,26,31,
From 130726 To 130756,78.8,1051,36,41,27,
From 130796 To 130826,85.03,1042,28,39,33,
From 130826 To 130856,93.67,1144,39,33,24,
From 130896 To 130926,85.13,1108,35,31,37,
From 130927 To 130957,88.03,1114,28,31,31,
From 130997 To 131027,91.17,1156,36,29,32,
From 131027 To 131057,85.8,1058,28,31,28,
From 131097 To 131127,85.63,1095,29,34,32,
From 131127 To 131157,81.9,1071,28,33,35,
From 131197 To 131227,87.6,1037,28,29,30,
From 131227 To 131257,76.0,980,40,36,23,
From 131298 To 131328,83.93,1069,40,23,25,
From 131328 To 131358,82.1,1014,28,29,35,
From 131398 To 131428,84.9,1087,34,22,39,
From 131428 To 131458,86.17,1072,26,34,34,
From 131498 To 131528,83.4,1005,18,38,25,
From 131528 To 131558,83.9,1100,33,31,32,
From 131598 To 131628,76.03,913,30,24,19,
From 131628 To 131658,92.37,1106,26,26,31,
From 131699 To 131729,87.27,1126,36,34,30,
From 131729 To 131759,82.43,1017,32,26,35,
From 131799 To 131829,82.57,1065,32,27,36,
From 131829 To 131859,88.43,1115,29,39,25,
From 131899 To 131929,87.3,1070,26,34,29,
From 131929 To 131959,77.77,1022,37,27,23,
From 131999 To 132029,87.23,1046,28,27,28,
From 132070 To 132100,81.67,1031,26,38,26,
From 132100 To 132130,87.5,1093,27,26,39,
From 132170 To 132200,88.03,1100,31,46,19,
From 132200 To 132230,87.4,1075,40,21,29,
From 132270 To 132300,89.17,1130,30,41,29,
From 132300 To 132330,79.4,957,31,26,20,
From 132370 To 132400,85.37,1116,34,36,33,
From 132401 To 132431,82.5,1076,28,26,31,
From 132471 To 132501,87.97,1061,31,31,34,
From 132501 To 132531,81.2,996,23,22,30,
From 132571 To 132601,89.63,1081,27,23,34,
From 132601 To 132631,82.9,1043,26,33,35,
From 132671 To 132701,77.93,960,26,26,30,
From 132701 To 132731,84.27,1065,29,31,36,
From 132772 To 132802,85.57,1104,27,25,36,
From 132802 To 132832,83.37,1089,36,27,37,
From 132872 To 132902,87.13,1078,37,34,28,
From 132902 To 132932,86.97,1112,40,37,28,
From 132972 To 133002,86.8,1055,27,25,29,
From 133002 To 133032,82.97,1018,28,26,27,
From 133072 To 133102,88.93,1113,31,20,27,
From 133103 To 133133,87.47,1137,40,26,33,
From 133173 To 133203,87.17,1085,37,32,23,
From 133203 To 133233,82.37,1068,29,39,32,
From 133273 To 133303,82.53,988,35,26,23,
From 133303 To 133333,86.0,1040,35,33,18,
From 133373 To 133403,87.77,1079,25,32,32,
From 133403 To 133433,86.27,1048,32,39,23,
From 133474 To 133504,82.03,1092,22,39,38,
From 133504 To 133534,87.57,1096,24,29,38,
From 133574 To 133604,79.87,989,27,38,32,
From 133604 To 133634,91.0,1171,36,39,30,
From 133674 To 133704,85.8,1006,28,18,32,
From 133704 To 133734,93.6,1114,37,27,26,
From 133774 To 133804,87.87,1078,24,31,36,
From 133805 To 133835,85.23,1067,30,31,22,
From 133875 To 133905,82.8,1078,40,36,31,
From 133905 To 133935,83.03,1060,38,28,31,
From 133975 To 134005,85.97,1046,35,26,32,
From 134005 To 134035,82.33,1056,22,32,34,
From 134075 To 134105,87.67,1100,29,31,35,
From 134105 To 134135,90.27,1057,39,23,39,
From 134175 To 134205,81.13,1047,27,21,38,
From 134206 To 134236,85.5,1100,27,37,35,
From 134276 To 134306,92.67,1132,22,28,37,
From 134306 To 134336,83.03,1015,30,19,36,
From 134376 To 134406,85.9,1056,38,25,32,
From 134406 To 134436,76.83,1001,26,29,34,
From 134476 To 134506,86.97,1120,31,36,31,
From 134506 To 134536,87.37,1017,29,27,31,
From 134577 To 134607,91.27,1161,33,27,32,
From 134607 To 134637,85.93,1049,27,33,27,
From 134677 To 134707,85.67,1081,33,37,33,
From 134707 To 134737,82.9,1040,34,33,31,
From 134777 To 134807,84.2,1014,26,30,28,
From 134807 To 134837,83.77,1074,41,24,34,
From 134877 To 134907,84.4,1084,30,31,34,
From 134908 To 134938,91.17,1123,25,38,34,
From 134978 To 135008,94.03,1108,29,25,33,
From 135008 To 135038,82.9,1044,39,34,36,
From 135078 To 135108,77.5,964,30,25,23,
From 135108 To 135138,90.87,1118,31,23,36,
From 135178 To 135208,80.93,997,29,22,35,
From 135208 To 135238,91.3,1112,26,24,34,
From 135279 To 135309,84.4,1106,29,37,28,
From 135309 To 135339,85.27,1056,34,23,33,
From 135379 To 135409,88.3,1042,31,23,33,
From 135409 To 135439,87.47,1045,19,39,26,
From 135479 To 135509,87.97,1089,33,30,28,
From 135509 To 135539,80.43,1002,23,33,28,
From 135579 To 135609,85.67,1042,25,29,37,
From 135610 To 135640,82.27,1027,31,32,24,
From 135680 To 135710,88.83,1126,28,36,26,
From 135710 To 135740,88.47,1057,26,25,31,
From 135780 To 135810,86.7,1002,33,23,24,
From 135810 To 135840,86.6,1064,30,25,30,
From 135880 To 135910,90.83,1121,36,36,27,
From 135910 To 135940,82.53,1034,32,21,38,
From 139980 To 140010,87.03,1034,24,31,18,
From 140011 To 140041,85.2,1101,29,34,40,
From 140081 To 140111,84.73,1035,20,34,32,
From 140111 To 140141,75.57,976,27,23,34,
From 140181 To 140211,76.63,947,22,36,28,
From 140211 To 140241,91.73,1083,29,33,29,
From 140281 To 140311,80.67,993,34,30,20,
From 140311 To 140341,90.83,1092,30,27,33,
From 140382 To 140412,83.87,1090,31,29,37,
From 140412 To 140442,88.2,1101,32,26,36,
From 140482 To 140512,78.43,956,31,21,27,
From 140512 To 140542,84.87,1085,35,26,37,
From 140582 To 140612,89.3,1074,38,31,21,
From 140612 To 140642,86.43,1042,25,32,32,
From 140682 To 140712,85.5,1024,28,26,31,
From 140713 To 140743,81.87,1053,30,36,32,
From 140783 To 140813,87.1,1072,33,30,30,
From 140813 To 140843,86.87,1075,35,23,39,
From 140883 To 140913,76.13,904,27,22,25,
From 140913 To 140943,77.97,978,24,33,23,
From 140983 To 141013,92.57,1156,38,31,23,
From 141013 To 141043,80.4,929,37,24,27,
From 141084 To 141114,92.43,1118,32,23,28,
From 141114 To 141144,86.63,1062,26,30,30,
From 141184 To 141214,82.9,1011,27,23,35,
From 141214 To 141244,80.2,991,29,32,26,
From 141284 To 141314,84.13,1005,20,28,34,
From 141314 To 141344,84.47,1043,24,35,34,
From 141384 To 141414,84.7,1064,27,19,35,
From 141414 To 141444,90.63,1111,27,34,34,
From 141485 To 141515,89.33,1102,41,24,28,
From 141515 To 141545,89.03,1066,24,38,21,
From 141585 To 141615,87.07,1056,32,30,27,
From 141615 To 141645,93.87,1141,26,30,29,
From 141685 To 141715,76.97,962,37,31,31,
From 141715 To 141745,85.2,1021,28,26,35,
From 141785 To 141815,79.17,985,35,23,22,
From 141816 To 141846,86.8,1086,25,29,35,
From 141886 To 141916,88.0,1046,33,35,27,
From 141916 To 141946,84.3,1023,25,30,33,
From 141986 To 142016,86.1,1033,32,27,28,
From 142016 To 142046,89.43,1071,33,23,30,
From 142086 To 142116,84.43,1035,39,18,28,
From 142116 To 142146,89.87,1078,26,30,37,
From 142187 To 142217,83.93,1077,38,27,23,
From 142217 To 142247,85.4,1106,39,38,25,
From 142287 To 142317,84.6,1003,36,35,30,
From 142317 To 142347,83.53,1015,29,23,29,
From 142387 To 142417,86.93,1043,26,28,30,
From 142417 To 142447,84.13,1037,29,36,29,
From 142487 To 142517,88.3,1054,34,28,24,
From 142518 To 142548,81.23,1023,22,22,35,
From 142588 To 142618,87.63,1063,36,27,29,
From 142618 To 142648,89.77,1072,22,24,28,
From 142688 To 142718,82.3,1005,33,26,32,
From 142718 To 142748,88.43,1069,32,27,33,
