Period, CPUAvg, ConceptServiceImpl:929,ConceptServiceImpl:300,
From 1525968702 To 1525968732,88.33,336,35,
From 1525968732 To 1525968762,90.87,368,23,
From 1525968763 To 1525968793,88.03,466,29,
From 1525968793 To 1525968823,82.97,440,30,
From 1525968823 To 1525968853,82.57,346,32,
From 1525968853 To 1525968883,89.6,412,25,
From 1525968883 To 1525968913,89.6,316,40,
From 1525968913 To 1525968943,86.5,298,27,
From 1525968943 To 1525968973,83.2,368,28,
From 1525968973 To 1525969003,90.57,366,31,
From 1525969003 To 1525969033,86.83,344,31,
From 1525969033 To 1525969063,88.83,472,34,
From 1525969064 To 1525969094,85.87,352,36,
From 1525969094 To 1525969124,87.8,262,29,
From 1525969124 To 1525969154,92.2,314,38,
From 1525969154 To 1525969184,82.9,236,32,
From 1525969184 To 1525969214,85.43,430,28,
From 1525969214 To 1525969244,81.97,283,40,
From 1525969244 To 1525969274,90.2,327,34,
From 1525969274 To 1525969304,84.43,296,15,
From 1525969304 To 1525969334,88.33,466,31,
From 1525969335 To 1525969365,81.9,288,26,
From 1525969365 To 1525969395,93.83,312,32,
From 1525969395 To 1525969425,89.4,370,30,
From 1525969425 To 1525969455,79.43,312,30,
From 1525969455 To 1525969485,86.7,448,33,
From 1525969485 To 1525969515,88.13,260,27,
From 1525969515 To 1525969545,89.43,322,32,
From 1525969545 To 1525969575,82.57,254,28,
From 1525969575 To 1525969605,91.17,392,19,
From 1525969605 To 1525969635,87.33,366,38,
From 1525969636 To 1525969666,85.67,344,27,
From 1525969666 To 1525969696,85.8,456,37,
From 1525969696 To 1525969726,91.07,328,30,
From 1525969726 To 1525969756,87.6,320,34,
From 1525969756 To 1525969786,83.77,288,34,
From 1525969786 To 1525969816,90.17,394,27,
From 1525969816 To 1525969846,80.43,430,29,
From 1525969846 To 1525969876,86.7,376,31,
From 1525969876 To 1525969906,85.7,437,35,
From 1525969907 To 1525969937,89.73,325,32,
From 1525969937 To 1525969967,89.43,332,38,
From 1525969967 To 1525969997,89.87,422,20,
From 1525969997 To 1525970027,88.93,617,28,
From 1525970027 To 1525970057,77.07,303,23,
From 1525970057 To 1525970087,90.83,394,40,
From 1525970087 To 1525970117,83.07,466,32,
From 1525970117 To 1525970147,88.07,470,33,
From 1525970147 To 1525970177,85.33,394,39,
From 1525970178 To 1525970208,88.23,412,29,
From 1525970208 To 1525970238,79.83,414,34,
From 1525970238 To 1525970268,101.07,304,29,
From 1525970268 To 1525970298,84.87,416,37,
From 1525970298 To 1525970328,72.73,302,30,
From 1525970328 To 1525970358,87.03,364,24,
From 1525970358 To 1525970388,78.8,458,23,
From 1525970389 To 1525970419,89.67,354,33,
From 1525970419 To 1525970449,84.2,294,30,
From 1525970449 To 1525970479,81.2,313,43,
From 1525970479 To 1525970509,82.1,259,29,
From 1525970509 To 1525970539,84.97,425,20,
From 1525970539 To 1525970569,86.6,371,28,
From 1525970569 To 1525970599,78.4,372,33,
From 1525970600 To 1525970630,87.7,350,33,
From 1525970630 To 1525970660,87.73,408,32,
From 1525970660 To 1525970690,87.1,335,34,
From 1525970690 To 1525970720,88.73,353,32,
From 1525970720 To 1525970750,80.97,264,37,
From 1525970750 To 1525970780,87.27,381,33,
From 1525970780 To 1525970810,80.57,393,30,
From 1525970811 To 1525970841,77.4,400,31,
From 1525970841 To 1525970871,75.53,310,18,
From 1525970871 To 1525970901,76.6,316,21,
From 1525970901 To 1525970931,79.83,290,41,
From 1525970931 To 1525970961,73.63,345,31,
From 1525970961 To 1525970991,83.33,345,29,
From 1525970991 To 1525971021,86.47,289,33,
From 1525971021 To 1525971051,88.7,485,31,
From 1525971052 To 1525971082,84.57,358,27,
From 1525971082 To 1525971112,88.47,368,33,
From 1525971112 To 1525971142,91.1,270,24,
From 1525971142 To 1525971172,78.5,300,33,
From 1525971172 To 1525971202,87.1,358,33,
From 1525971202 To 1525971232,85.23,358,29,
From 1525971232 To 1525971262,80.63,386,27,
From 1525971263 To 1525971293,85.0,374,38,
From 1525971293 To 1525971323,86.2,514,25,
From 1525971323 To 1525971353,80.4,370,25,
From 1525971353 To 1525971383,88.1,242,23,
From 1525971383 To 1525971413,86.6,366,29,
From 1525971413 To 1525971443,78.17,302,29,
From 1525971443 To 1525971473,79.63,454,29,
From 1525971473 To 1525971503,87.57,456,29,
From 1525971504 To 1525971534,84.57,382,28,
From 1525971534 To 1525971564,85.63,366,26,
From 1525971564 To 1525971594,87.3,324,26,
From 1525971594 To 1525971624,90.57,412,24,
From 1525971624 To 1525971654,87.83,316,36,
From 1525971654 To 1525971684,86.0,356,36,
From 1525971684 To 1525971714,77.87,224,36,
From 1525971715 To 1525971745,88.67,342,35,
From 1525971745 To 1525971775,81.57,426,30,
From 1525971775 To 1525971805,83.8,336,28,
From 1525971805 To 1525971835,77.63,384,26,
From 1525971835 To 1525971865,95.3,316,35,
From 1525971865 To 1525971895,79.27,394,28,
From 1525971895 To 1525971925,86.33,386,23,
From 1525971925 To 1525971955,80.43,498,21,
From 1525971956 To 1525971986,80.4,406,29,
From 1525971986 To 1525972016,82.23,355,41,
From 1525972016 To 1525972046,79.4,299,38,
From 1525972046 To 1525972076,78.8,474,36,
From 1525972076 To 1525972106,85.03,460,28,
From 1525972106 To 1525972136,93.67,388,39,
From 1525972136 To 1525972166,85.13,364,35,
From 1525972167 To 1525972197,88.03,358,28,
From 1525972197 To 1525972227,91.17,352,36,
From 1525972227 To 1525972257,85.8,370,28,
From 1525972257 To 1525972287,85.63,408,30,
From 1525972287 To 1525972317,81.9,378,27,
From 1525972317 To 1525972347,87.6,326,28,
From 1525972347 To 1525972377,76.0,414,40,
From 1525972378 To 1525972408,83.93,258,40,
From 1525972408 To 1525972438,82.1,354,29,
From 1525972438 To 1525972468,84.9,240,33,
From 1525972468 To 1525972498,86.17,416,26,
From 1525972498 To 1525972528,83.4,436,18,
From 1525972528 To 1525972558,83.9,397,33,
From 1525972558 To 1525972588,76.03,231,30,
From 1525972588 To 1525972618,92.37,264,26,
From 1525972619 To 1525972649,87.27,386,36,
From 1525972649 To 1525972679,82.43,312,32,
From 1525972679 To 1525972709,82.57,316,32,
From 1525972709 To 1525972739,88.43,462,29,
From 1525972739 To 1525972769,87.3,418,26,
From 1525972769 To 1525972799,77.77,336,37,
From 1525972799 To 1525972829,87.23,320,28,
From 1525972830 To 1525972860,81.67,408,26,
From 1525972860 To 1525972890,87.5,320,27,
From 1525972890 To 1525972920,88.03,538,31,
From 1525972920 To 1525972950,87.4,254,40,
From 1525972950 To 1525972980,89.17,436,30,
From 1525972980 To 1525973010,79.4,326,31,
From 1525973010 To 1525973040,85.37,430,34,
From 1525973041 To 1525973071,82.5,280,28,
From 1525973071 To 1525973101,87.97,342,32,
From 1525973101 To 1525973131,81.2,238,22,
From 1525973131 To 1525973161,89.63,280,27,
From 1525973161 To 1525973191,82.9,387,26,
From 1525973191 To 1525973221,77.93,287,26,
From 1525973221 To 1525973251,84.27,376,30,
From 1525973252 To 1525973282,85.57,270,26,
From 1525973282 To 1525973312,83.37,306,36,
From 1525973312 To 1525973342,87.13,384,37,
From 1525973342 To 1525973372,86.97,414,40,
From 1525973372 To 1525973402,86.8,303,27,
From 1525973402 To 1525973432,82.97,277,29,
From 1525973432 To 1525973462,88.93,227,30,
From 1525973463 To 1525973493,87.47,297,40,
From 1525973493 To 1525973523,87.17,388,37,
From 1525973523 To 1525973553,82.37,440,29,
From 1525973553 To 1525973583,82.53,260,35,
From 1525973583 To 1525973613,86.0,356,35,
From 1525973613 To 1525973643,87.77,388,25,
From 1525973643 To 1525973673,86.27,448,32,
From 1525973674 To 1525973704,82.03,440,22,
From 1525973704 To 1525973734,87.57,380,24,
From 1525973734 To 1525973764,79.87,448,27,
From 1525973764 To 1525973794,91.0,436,36,
From 1525973794 To 1525973824,85.8,190,28,
From 1525973824 To 1525973854,93.6,314,37,
From 1525973854 To 1525973884,87.87,376,25,
From 1525973885 To 1525973915,85.23,358,29,
From 1525973915 To 1525973945,82.8,416,40,
From 1525973945 To 1525973975,83.03,292,38,
From 1525973975 To 1525974005,85.97,286,35,
From 1525974005 To 1525974035,82.33,365,22,
From 1525974035 To 1525974065,87.67,403,29,
From 1525974065 To 1525974095,90.27,286,39,
From 1525974095 To 1525974125,81.13,232,27,
From 1525974126 To 1525974156,85.5,431,27,
From 1525974156 To 1525974186,92.67,301,22,
From 1525974186 To 1525974216,83.03,254,30,
From 1525974216 To 1525974246,85.9,272,38,
From 1525974246 To 1525974276,76.83,366,27,
From 1525974276 To 1525974306,86.97,432,30,
From 1525974306 To 1525974336,87.37,320,29,
From 1525974337 To 1525974367,91.27,266,33,
From 1525974367 To 1525974397,85.93,387,27,
From 1525974397 To 1525974427,85.67,375,33,
From 1525974427 To 1525974457,82.9,354,34,
From 1525974457 To 1525974487,84.2,339,26,
From 1525974487 To 1525974517,83.77,283,41,
From 1525974517 To 1525974547,84.4,336,30,
From 1525974548 To 1525974578,91.17,465,25,
From 1525974578 To 1525974608,94.03,277,30,
From 1525974608 To 1525974638,82.9,380,38,
From 1525974638 To 1525974668,77.5,270,30,
From 1525974668 To 1525974698,90.87,208,31,
From 1525974698 To 1525974728,80.93,272,30,
From 1525974728 To 1525974758,91.3,310,25,
From 1525974759 To 1525974789,84.4,466,29,
From 1525974789 To 1525974819,85.27,248,34,
From 1525974819 To 1525974849,88.3,287,31,
